signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.270000000000000000e+03,1.219457214415215526e-04,6.265516477510072617e-42,7.640845692382305543e-46
1.270018749999999955e+03,1.215341711419223625e-04,6.846796947851636393e-42,8.321542531128341627e-46
1.270037499999999909e+03,1.211130430401769495e-04,7.481675354056139423e-42,9.061659952130407519e-46
1.270056250000000091e+03,1.206824085497274087e-04,8.175063049830113415e-42,9.866271569925981918e-46
1.270075000000000045e+03,1.202423407309678868e-04,8.932318588016254324e-42,1.074087375163778601e-45
1.270093750000000000e+03,1.197929142855045856e-04,9.759288178196039863e-42,1.169141988595141720e-45
1.270112499999999955e+03,1.193342055486133876e-04,1.066234978084482017e-41,1.272435734344533646e-45
1.270131249999999909e+03,1.188662924792406524e-04,1.164846116202918418e-41,1.384666733082359914e-45
1.270150000000000091e+03,1.183892546489280777e-04,1.272521226265008515e-41,1.506590785793268665e-45
1.270168750000000045e+03,1.179031732407890773e-04,1.390088226681292688e-41,1.639026005265045056e-45
1.270187500000000000e+03,1.174081310316181439e-04,1.518450178804003170e-41,1.782857807087684872e-45
1.270206249999999955e+03,1.169042123881384256e-04,1.658592062931326563e-41,1.939044287386698330e-45
1.270224999999999909e+03,1.163915032595970586e-04,1.811588161342406171e-41,2.108622015877856025e-45
1.270243750000000091e+03,1.158700911591876748e-04,1.978610102331080211e-41,2.292712274799619354e-45
1.270262500000000045e+03,1.153400651633018550e-04,2.160935624070795622e-41,2.492527777221146582e-45
1.270281250000000000e+03,1.148015158962477328e-04,2.359958122276169352e-41,2.709379899426327511e-45
1.270299999999999955e+03,1.142545355259458887e-04,2.577197051254477697e-41,2.944686465524974428e-45
1.270318749999999909e+03,1.136992177441289580e-04,2.814309254206143585e-41,3.199980124151184304e-45
1.270337500000000091e+03,1.131356577655988582e-04,3.073101305115000759e-41,3.476917361057037252e-45
1.270356250000000045e+03,1.125639523121721805e-04,3.355542952036440507e-41,3.777288192979949817e-45
1.270375000000000000e+03,1.119841995989506798e-04,3.663781759378917900e-41,4.103026592370109455e-45
1.270393749999999955e+03,1.113964993309742485e-04,4.000159055339205689e-41,4.456221695872151444e-45
