signal_nm,phi2_fixed_idler_norm,pump2_norm,f2_norm
1.270000000000000000e+03,1.268657292926207182e-04,6.795869407325180428e-44,8.621953611444155001e-48
1.270018749999999955e+03,1.271190395671715882e-04,7.440326577182598441e-44,9.458427476701469837e-48
1.270037499999999909e+03,1.273617301634853813e-04,8.145539813645918261e-44,1.037469069538082638e-47
1.270056250000000091e+03,1.275937630355230678e-04,8.917202793700872758e-44,1.137822260872362576e-47
1.270075000000000045e+03,1.278151018642347209e-04,9.761539545176397469e-44,1.247719105905292175e-47
1.270093750000000000e+03,1.280257120635796035e-04,1.068535354408926381e-43,1.368051457178785805e-47
1.270112499999999955e+03,1.282255607873830422e-04,1.169608132918786250e-43,1.499793004126290624e-47
1.270131249999999909e+03,1.284146169307591717e-04,1.280185104585686757e-43,1.644006639519284865e-47
1.270150000000000091e+03,1.285928511384869927e-04,1.401154637043576084e-43,1.801852475672059107e-47
1.270168750000000045e+03,1.287602358080453793e-04,1.533487630604319189e-43,1.974596566286939582e-47
1.270187500000000000e+03,1.289167450940697189e-04,1.678245138563182956e-43,2.163620394747372344e-47
1.270206249999999955e+03,1.290623549138310907e-04,1.836586686682194144e-43,2.370431194737055461e-47
1.270224999999999909e+03,1.291970429509830783e-04,2.009779355617691288e-43,2.596673174556600931e-47
1.270243750000000091e+03,1.293207886573965657e-04,2.199207695756079488e-43,2.844139722403149283e-47
1.270262500000000045e+03,1.294335732602283282e-04,2.406384550318857049e-43,3.114786676636329303e-47
1.270281250000000000e+03,1.295353797625594652e-04,2.632962869388625801e-43,3.410746751571778440e-47
1.270299999999999955e+03,1.296261929479062506e-04,2.880748604958323163e-43,3.734345217289151362e-47
1.270318749999999909e+03,1.297059993831619793e-04,3.151714785396712233e-43,4.088116939973704210e-47
1.270337500000000091e+03,1.297747874209918622e-04,3.448016876370520256e-43,4.474824897943634443e-47
1.270356250000000045e+03,1.298325472030306357e-04,3.772009545168565994e-43,4.897480298363600665e-47
1.270375000000000000e+03,1.298792706609863885e-04,4.126264955786841762e-43,5.359364429621598042e-47
1.270393749999999955e+03,1.299149515205188067e-04,4.513592733585377442e-43,5.864052395675106076e-47
1.270412499999999909e+03,1.299395853016338510e-04,4.937061751076840432e-43,6.415438890563330518e-47
1.270431250000000091e+03,1.299531693214290640e-04,5.400023899630603905e-43,7.017766184142394386e-47
1.270450000000000045e+03,1.299557026946475988e-04,5.906140027225470683e-43,7.675654504298523067e-47
1.270468750000000000e+03,1.299471863356222465e-04,6.459408238184266276e-43,8.394135015824231178e-47
1.270487499999999955e+03,1.299276229592053031e-04,7.064194768607775603e-43,9.178685612330280239e-47
1.270506249999999909e+03,1.298970170812813695e-04,7.725267670493369437e-43,1.003526975531852722e-46
1.270525000000000091e+03,1.298553750194574193e-04,8.447833558305819822e-43,1.097037861330393247e-46
1.270543750000000045e+03,1.298027048932649211e-04,9.237577694622812482e-43,1.199107677428056280e-46
1.270562500000000000e+03,1.297390166254489008e-04,1.010070771652291862e-42,1.310505182730017889e-46
1.270581249999999955e+03,1.296643219402438159e-04,1.104400133075470174e-42,1.432066813126501361e-46
1.270599999999999909e+03,1.295786343634093075e-04,1.207485833623862949e-42,1.564702511673828114e-46
1.270618750000000091e+03,1.294819692229139249e-04,1.320135736322964010e-42,1.709402049201230315e-46
1.270637500000000045e+03,1.293743436466604968e-04,1.443231775465836708e-42,1.867241875555415400e-46
1.270656250000000000e+03,1.292557765634014689e-04,1.577736705223971898e-42,2.039392544882199990e-46
1.270674999999999955e+03,1.291262886988029789e-04,1.724701459184933717e-42,2.227126761666951487e-46
1.270693749999999909e+03,1.289859025761886735e-04,1.885273175750999857e-42,2.431828098165174295e-46
1.270712500000000091e+03,1.288346425149760450e-04,2.060703949254223044e-42,2.655000437629214428e-46
1.270731250000000045e+03,1.286725346270918416e-04,2.252360371992177624e-42,2.898278202105513397e-46
1.270750000000000000e+03,1.284996068170070880e-04,2.461733938184945610e-42,3.163437428286717813e-46
1.270768749999999955e+03,1.283158887773515680e-04,2.690452387236416173e-42,3.452407759649251660e-46
1.270787499999999909e+03,1.281214119879979724e-04,2.940292070458551142e-42,3.767285428613545358e-46
1.270806250000000091e+03,1.279162097122258561e-04,3.213191433125360471e-42,4.110347308144317615e-46
1.270825000000000045e+03,1.277003169953592836e-04,3.511265711665657605e-42,4.484066118360867857e-46
1.270843750000000000e+03,1.274737706589028406e-04,3.836822954896059586e-42,4.891126880250006827e-46
1.270862499999999955e+03,1.272366093001959088e-04,4.192381487705048758e-42,5.334444716003152853e-46
1.270881249999999909e+03,1.269888732857676178e-04,4.580688946236990645e-42,5.817184102543888049e-46
1.270900000000000091e+03,1.267306047500371853e-04,5.004743025117414342e-42,6.342779693874347647e-46
1.270918750000000045e+03,1.264618475898674811e-04,5.467814089528080187e-42,6.914958835621162197e-46
1.270937500000000000e+03,1.261826474611590877e-04,5.973469818899527224e-42,7.537765905708477601e-46
1.270956249999999955e+03,1.258930517725857529e-04,6.525602063206376121e-42,8.215588624021560248e-46
1.270974999999999909e+03,1.255931096823143260e-04,7.128456109593435982e-42,8.953186486202288994e-46
1.270993750000000091e+03,1.252828720947686851e-04,7.786662573925042075e-42,9.755721487170886536e-46
1.271012500000000045e+03,1.249623916487935292e-04,8.505272151183066156e-42,1.062879131225018555e-45
1.271031250000000000e+03,1.246317227231938385e-04,9.289793479513019803e-42,1.157846519006261396e-45
1.271049999999999955e+03,1.242909214192898981e-04,1.014623439469956055e-41,1.261132260993494786e-45
1.271068749999999909e+03,1.239400455633444479e-04,1.108114687703249686e-41,1.373449512934114517e-45
1.271087500000000091e+03,1.235791546984285367e-04,1.210167601824257173e-41,1.495571150634455086e-45
1.271106250000000045e+03,1.232083100744100265e-04,1.321561336665532195e-41,1.628334641440608436e-45
1.271125000000000000e+03,1.228275746490575815e-04,1.443145503815001047e-41,1.772647301440650058e-45
1.271143749999999955e+03,1.224370130741698191e-04,1.575846501716382978e-41,1.929491967700450960e-45
1.271162499999999909e+03,1.220366916897458665e-04,1.720674410708169334e-41,2.099933117312261009e-45
1.271181250000000091e+03,1.216266785226355020e-04,1.878730503156436838e-41,2.285123467290089090e-45
1.271200000000000045e+03,1.212070432728765812e-04,2.051215423137622423e-41,2.486311091387389610e-45
1.271218750000000000e+03,1.207778573086589315e-04,2.239438095028264755e-41,2.704847093291708082e-45
1.271237499999999955e+03,1.203391936579404606e-04,2.444825425412185619e-41,2.942193877757924559e-45
1.271256249999999909e+03,1.198911270009125885e-04,2.668932868617180537e-41,3.199934064789900011e-45
1.271275000000000091e+03,1.194337336614252517e-04,2.913455932107178861e-41,3.479780094777457888e-45
1.271293750000000045e+03,1.189670916012464054e-04,3.180242704855868410e-41,3.783584576312514254e-45
1.271312500000000000e+03,1.184912804064254158e-04,3.471307499068652926e-41,4.113351431587151458e-45
1.271331249999999955e+03,1.180063812829172074e-04,3.788845703382604910e-41,4.471247898795466115e-45
1.271349999999999909e+03,1.175124770438174215e-04,4.135249954623569215e-41,4.859617454500877656e-45
1.271368750000000091e+03,1.170096521039858312e-04,4.513127744166557453e-41,5.280993723946887264e-45
1.271387500000000045e+03,1.164979924692648042e-04,4.925320585449938589e-41,5.738115451445679942e-45
1.271406250000000000e+03,1.159775857251666423e-04,5.374924880110136361e-41,6.233942608401404856e-45
1.271424999999999955e+03,1.154485210287814088e-04,5.865314632186868206e-41,6.771673721912268297e-45
1.271443749999999909e+03,1.149108890974012616e-04,6.400166173005301157e-41,7.354764512202385516e-45
1.271462500000000091e+03,1.143647822021052026e-04,6.983485073577016712e-41,7.986947934010380648e-45
1.271481250000000045e+03,1.138102941507610502e-04,7.619635436664139131e-41,8.672255721929754811e-45
1.271500000000000000e+03,1.132475202830451980e-04,8.313371777490813450e-41,9.415041549026359223e-45
1.271518749999999955e+03,1.126765574580682896e-04,9.069873720388295077e-41,1.022000591282289403e-44
1.271537499999999909e+03,1.120975040413719890e-04,9.894783758346629993e-41,1.109222287187518609e-44
1.271556250000000091e+03,1.115104598971701863e-04,1.079424834407263552e-40,1.203716876477185597e-44
