Time - Plot 0	Amplitude - Plot 0	
0	53	
1	73	
2	96	
3	123	
4	61	
5	109	
6	64	
7	109	
8	132	
9	71	
10	109	
11	114	
12	80	
13	57	
14	191	
15	74	
16	54	
17	171	
18	85	
19	59	
20	77	
21	189	
22	44	
23	64	
24	163	
25	47	
26	91	
27	95	
28	105	
29	65	
30	93	
31	75	
32	134	
33	115	
34	77	
35	140	
36	108	
37	84	
38	57	
39	169	
40	92	
41	52	
42	205	
43	98	
44	57	
45	78	
46	180	
47	42	
48	68	
49	199	
50	53	
51	110	
52	105	
53	861	
54	1035	
55	2246	
56	366	
57	217	
58	136	
59	92	
60	144	
61	87	
62	67	
63	44	
64	150	
65	73	
66	48	
67	182	
68	91	
69	49	
70	84	
71	189	
72	66	
73	65	
74	180	
75	43	
76	74	
77	104	
78	129	
79	63	
80	102	
81	77	
82	148	
83	131	
84	81	
85	114	
86	110	
87	71	
88	42	
89	151	
90	68	
91	46	
92	154	
93	74	
94	36	
95	63	
96	154	
97	63	
98	80	
99	203	
100	85	
101	84	
102	103	
103	135	
104	73	
105	93	
106	81	
107	120	
108	103	
109	91	
110	115	
111	93	
112	95	
113	58	
114	209	
115	107	
116	70	
117	211	
118	203	
119	695	
120	1165	
121	2250	
122	123	
123	71	
124	211	
125	67	
126	105	
127	106	
128	138	
129	88	
130	118	
131	97	
132	164	
133	122	
134	83	
135	119	
136	79	
137	82	
138	46	
139	169	
140	79	
141	50	
142	200	
143	87	
144	65	
145	79	
146	206	
147	51	
148	76	
149	182	
150	60	
151	76	
152	102	
153	125	
154	58	
155	102	
156	90	
157	109	
158	106	
159	84	
160	124	
161	109	
162	90	
163	55	
164	173	
165	81	
166	54	
167	168	
168	93	
169	62	
170	91	
171	213	
172	71	
173	89	
174	237	
175	70	
176	76	
177	106	
178	141	
179	62	
180	97	
181	100	
182	140	
183	105	
184	97	
185	1224	
186	2333	
187	747	
188	215	
189	213	
190	92	
191	57	
192	199	
193	71	
194	38	
195	72	
196	184	
197	51	
198	66	
199	192	
200	50	
201	66	
202	131	
203	152	
204	78	
205	87	
206	74	
207	123	
208	93	
209	96	
210	112	
211	92	
212	84	
213	51	
214	161	
215	86	
216	52	
217	173	
218	84	
219	49	
220	70	
221	174	
222	50	
223	70	
224	158	
225	58	
226	65	
227	102	
228	125	
229	80	
230	93	
231	83	
232	137	
233	102	
234	93	
235	125	
236	121	
237	88	
238	55	
239	194	
240	96	
241	50	
242	182	
243	89	
244	64	
245	78	
246	218	
247	68	
248	86	
249	239	
250	477	
251	1684	
252	4504	
253	1752	
254	162	
255	103	
256	108	
257	159	
258	116	
259	56	
260	120	
261	90	
262	91	
263	65	
264	175	
265	74	
266	57	
267	166	
268	69	
269	55	
270	65	
271	171	
272	52	
273	78	
274	184	
275	59	
276	79	
277	95	
278	133	
279	88	
280	101	
281	78	
282	144	
283	119	
284	74	
285	137	
286	91	
287	78	
288	45	
289	156	
290	67	
291	53	
292	132	
293	94	
294	49	
295	71	
296	203	
297	39	
298	68	
299	199	
300	47	
301	68	
302	121	
303	145	
304	85	
305	91	
306	91	
307	129	
308	113	
309	84	
310	149	
311	106	
312	115	
313	58	
314	220	
315	93	
316	320	
317	2963	
318	784	
319	196	
320	123	
321	204	
322	55	
323	85	
324	153	
325	63	
326	85	
327	106	
328	155	
329	69	
330	96	
331	77	
332	118	
333	97	
334	69	
335	128	
336	107	
337	81	
338	49	
339	175	
340	97	
341	56	
342	177	
343	103	
344	45	
345	79	
346	178	
347	58	
348	86	
349	161	
350	43	
351	63	
352	100	
353	158	
354	53	
355	95	
356	83	
357	114	
358	123	
359	78	
360	119	
361	102	
362	86	
363	52	
364	197	
365	78	
366	56	
367	186	
368	96	
369	64	
370	87	
371	206	
372	53	
373	82	
374	204	
375	58	
376	74	
377	114	
378	143	
379	78	
380	120	
381	95	
382	744	
383	2230	
384	1086	
385	542	
386	129	
387	112	
388	67	
389	211	
390	84	
391	52	
392	173	
393	93	
394	50	
395	62	
396	188	
397	39	
398	75	
399	186	
400	60	
401	90	
402	97	
403	135	
404	72	
405	96	
406	86	
407	141	
408	97	
409	83	
410	109	
411	106	
412	77	
413	53	
414	167	
415	77	
416	59	
417	170	
418	61	
419	40	
420	68	
421	179	
422	54	
423	43	
424	192	
425	54	
426	74	
427	92	
428	146	
429	77	
430	109	
431	83	
432	127	
433	90	
434	89	
435	144	
436	111	
437	67	
438	43	
439	179	
440	83	
441	44	
442	205	
443	99	
444	61	
445	89	
446	187	
447	92	
448	488	
449	3234	
450	370	
451	340	
452	118	
453	198	
454	84	
455	121	
456	89	
457	131	
458	94	
459	81	
460	129	
461	78	
462	93	
463	65	
464	198	
465	70	
466	58	
467	199	
468	80	
469	54	
470	73	
471	216	
472	46	
473	75	
474	174	
475	53	
476	67	
477	113	
478	124	
479	98	
480	101	
481	94	
482	111	
483	95	
484	71	
485	129	
486	94	
487	90	
488	51	
489	178	
490	74	
491	50	
492	167	
493	69	
494	43	
495	79	
496	236	
497	65	
498	90	
499	174	
