# pump_bw_nm_intensity_FWHM	purity
2.1000	0.93073457
2.1100	0.93219263
2.1200	0.93362901
2.1300	0.93504387
2.1400	0.93643736
2.1500	0.93780964
2.1600	0.93916087
2.1700	0.94049120
2.1800	0.94180080
2.1900	0.94308981
2.2000	0.94435840
2.2100	0.94560671
2.2200	0.94683490
2.2300	0.94804313
2.2400	0.94923154
2.2500	0.95040030
2.2600	0.95154954
2.2700	0.95267943
2.2800	0.95379012
2.2900	0.95488174
2.3000	0.95595447
2.3100	0.95700843
2.3200	0.95804379
2.3300	0.95906069
2.3400	0.96005928
2.3500	0.96103970
2.3600	0.96200210
2.3700	0.96294663
2.3800	0.96387343
2.3900	0.96478264
2.4000	0.96567441
2.4100	0.96654889
2.4200	0.96740621
2.4300	0.96824651
2.4400	0.96906994
2.4500	0.96987663
2.4600	0.97066673
2.4700	0.97144037
2.4800	0.97219770
2.4900	0.97293884
2.5000	0.97366394
2.5100	0.97437313
2.5200	0.97506655
2.5300	0.97574432
2.5400	0.97640659
2.5500	0.97705349
2.5600	0.97768515
2.5700	0.97830169
2.5800	0.97890326
2.5900	0.97948998
2.6000	0.98006197
2.6100	0.98061938
2.6200	0.98116232
2.6300	0.98169092
2.6400	0.98220531
2.6500	0.98270561
2.6600	0.98319195
2.6700	0.98366445
2.6800	0.98412324
2.6900	0.98456843
2.7000	0.98500015
2.7100	0.98541852
2.7200	0.98582366
2.7300	0.98621569
2.7400	0.98659472
2.7500	0.98696087
2.7600	0.98731426
2.7700	0.98765502
2.7800	0.98798324
2.7900	0.98829904
2.8000	0.98860255
2.8100	0.98889387
2.8200	0.98917311
2.8300	0.98944039
2.8400	0.98969582
2.8500	0.98993951
2.8600	0.99017155
2.8700	0.99039208
2.8800	0.99060118
2.8900	0.99079898
2.9000	0.99098556
2.9100	0.99116105
2.9200	0.99132555
2.9300	0.99147915
2.9400	0.99162196
2.9500	0.99175409
2.9600	0.99187563
2.9700	0.99198669
2.9800	0.99208737
2.9900	0.99217776
3.0000	0.99225797
3.0100	0.99232809
3.0200	0.99238822
3.0300	0.99243846
3.0400	0.99247890
3.0500	0.99250964
3.0600	0.99253077
3.0700	0.99254239
3.0800	0.99254458
3.0900	0.99253745
3.1000	0.99252108
3.1100	0.99249556
3.1200	0.99246099
3.1300	0.99241745
3.1400	0.99236503
3.1500	0.99230383
3.1600	0.99223392
3.1700	0.99215539
3.1800	0.99206834
3.1900	0.99197284
3.2000	0.99186898
3.2100	0.99175685
3.2200	0.99163652
3.2300	0.99150809
3.2400	0.99137163
3.2500	0.99122723
3.2600	0.99107496
3.2700	0.99091490
3.2800	0.99074714
3.2900	0.99057176
3.3000	0.99038883
3.3100	0.99019843
3.3200	0.99000063
3.3300	0.98979552
3.3400	0.98958317
3.3500	0.98936365
3.3600	0.98913705
3.3700	0.98890342
3.3800	0.98866285
3.3900	0.98841541
3.4000	0.98816118
3.4100	0.98790021
3.4200	0.98763259
3.4300	0.98735838
3.4400	0.98707766
3.4500	0.98679049
3.4600	0.98649695
3.4700	0.98619709
3.4800	0.98589099
3.4900	0.98557871
3.5000	0.98526033
3.5100	0.98493590
3.5200	0.98460550
3.5300	0.98426918
3.5400	0.98392702
3.5500	0.98357906
3.5600	0.98322539
3.5700	0.98286606
3.5800	0.98250113
3.5900	0.98213066
3.6000	0.98175472
3.6100	0.98137337
3.6200	0.98098666
3.6300	0.98059465
3.6400	0.98019741
3.6500	0.97979500
3.6600	0.97938746
3.6700	0.97897486
3.6800	0.97855726
3.6900	0.97813471
3.7000	0.97770726
3.7100	0.97727498
3.7200	0.97683792
3.7300	0.97639613
3.7400	0.97594966
3.7500	0.97549858
3.7600	0.97504293
3.7700	0.97458277
3.7800	0.97411814
3.7900	0.97364911
3.8000	0.97317571
3.8100	0.97269801
3.8200	0.97221606
3.8300	0.97172989
3.8400	0.97123957
3.8500	0.97074514
3.8600	0.97024665
3.8700	0.96974415
3.8800	0.96923768
3.8900	0.96872730
3.9000	0.96821305
3.9100	0.96769497
3.9200	0.96717312
3.9300	0.96664754
3.9400	0.96611828
3.9500	0.96558537
3.9600	0.96504887
3.9700	0.96450881
3.9800	0.96396525
3.9900	0.96341822
4.0000	0.96286777
4.0100	0.96231394
4.0200	0.96175678
4.0300	0.96119632
4.0400	0.96063260
4.0500	0.96006568
4.0600	0.95949558
4.0700	0.95892235
4.0800	0.95834603
4.0900	0.95776666
4.1000	0.95718427
