# phi2_fs2	purity
0	0.9925445832
1	0.9925445830
2	0.9925445823
3	0.9925445811
4	0.9925445794
5	0.9925445773
6	0.9925445746
7	0.9925445715
8	0.9925445680
9	0.9925445639
10	0.9925445594
11	0.9925445543
12	0.9925445488
13	0.9925445429
14	0.9925445364
15	0.9925445295
16	0.9925445221
17	0.9925445142
18	0.9925445059
19	0.9925444970
20	0.9925444877
21	0.9925444779
22	0.9925444677
23	0.9925444569
24	0.9925444457
25	0.9925444340
26	0.9925444218
27	0.9925444091
28	0.9925443960
29	0.9925443824
30	0.9925443683
31	0.9925443537
32	0.9925443387
33	0.9925443232
34	0.9925443072
35	0.9925442907
36	0.9925442737
37	0.9925442563
38	0.9925442384
39	0.9925442200
40	0.9925442011
41	0.9925441818
42	0.9925441620
43	0.9925441417
44	0.9925441209
45	0.9925440996
46	0.9925440779
47	0.9925440557
48	0.9925440330
49	0.9925440099
50	0.9925439862
51	0.9925439621
52	0.9925439375
53	0.9925439124
54	0.9925438869
55	0.9925438608
56	0.9925438343
57	0.9925438073
58	0.9925437799
59	0.9925437519
60	0.9925437235
61	0.9925436946
62	0.9925436652
63	0.9925436354
64	0.9925436051
65	0.9925435743
66	0.9925435430
67	0.9925435112
68	0.9925434790
69	0.9925434463
70	0.9925434131
71	0.9925433794
72	0.9925433452
73	0.9925433106
74	0.9925432755
75	0.9925432399
76	0.9925432039
77	0.9925431673
78	0.9925431303
79	0.9925430928
80	0.9925430548
81	0.9925430164
82	0.9925429775
83	0.9925429381
84	0.9925428982
85	0.9925428578
86	0.9925428170
87	0.9925427757
88	0.9925427339
89	0.9925426916
90	0.9925426489
91	0.9925426056
92	0.9925425619
93	0.9925425178
94	0.9925424731
95	0.9925424280
96	0.9925423824
97	0.9925423363
98	0.9925422897
99	0.9925422427
100	0.9925421951
101	0.9925421471
102	0.9925420987
103	0.9925420497
104	0.9925420003
105	0.9925419504
106	0.9925419000
107	0.9925418491
108	0.9925417978
109	0.9925417459
110	0.9925416936
111	0.9925416409
112	0.9925415876
113	0.9925415339
114	0.9925414797
115	0.9925414250
116	0.9925413698
117	0.9925413142
118	0.9925412580
119	0.9925412014
120	0.9925411444
121	0.9925410868
122	0.9925410288
123	0.9925409703
124	0.9925409113
125	0.9925408518
126	0.9925407919
127	0.9925407315
128	0.9925406706
129	0.9925406092
130	0.9925405474
131	0.9925404850
132	0.9925404222
133	0.9925403589
134	0.9925402952
135	0.9925402309
136	0.9925401662
137	0.9925401010
138	0.9925400353
139	0.9925399692
140	0.9925399026
141	0.9925398355
142	0.9925397679
143	0.9925396998
144	0.9925396313
145	0.9925395623
146	0.9925394928
147	0.9925394228
148	0.9925393524
149	0.9925392814
150	0.9925392100
151	0.9925391381
152	0.9925390658
153	0.9925389930
154	0.9925389196
155	0.9925388458
156	0.9925387716
157	0.9925386968
158	0.9925386216
159	0.9925385459
160	0.9925384697
161	0.9925383931
162	0.9925383159
163	0.9925382383
164	0.9925381602
165	0.9925380817
166	0.9925380026
167	0.9925379231
168	0.9925378431
169	0.9925377626
170	0.9925376817
171	0.9925376002
172	0.9925375183
173	0.9925374359
174	0.9925373531
175	0.9925372697
176	0.9925371859
177	0.9925371016
178	0.9925370168
179	0.9925369316
180	0.9925368458
181	0.9925367596
182	0.9925366729
183	0.9925365858
184	0.9925364981
185	0.9925364100
186	0.9925363214
187	0.9925362324
188	0.9925361428
189	0.9925360528
190	0.9925359623
191	0.9925358713
192	0.9925357798
193	0.9925356879
194	0.9925355955
195	0.9925355026
196	0.9925354092
197	0.9925353153
198	0.9925352210
199	0.9925351262
200	0.9925350309
