Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:31:04

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:31:04.103	-232.80	-604.80	6.20	-747.84	20.85	5.54	2798.06	3137.28	91.48	92.63	2754.38	3037.57	
2	21:31:04.201	-232.80	-604.80	6.20	-747.84	20.85	5.54	2798.06	3137.28	91.48	92.63	2754.38	3037.57	
3	21:31:04.335	-232.80	-604.80	6.20	-747.84	20.85	5.54	2798.06	3137.28	91.48	92.63	2754.38	3037.57	
4	21:31:04.417	-232.80	-604.80	6.20	-747.84	20.85	5.54	2798.06	3137.28	91.48	92.63	2754.38	3037.57	
5	21:31:04.506	-210.00	-628.80	4.84	-754.37	20.80	5.54	2781.99	3150.39	91.47	92.67	2755.74	3032.59	
6	21:31:04.595	-210.00	-628.80	4.84	-754.37	20.80	5.54	2781.99	3150.39	91.47	92.67	2755.74	3032.59	
7	21:31:04.726	-210.00	-628.80	4.84	-754.37	20.80	5.54	2781.99	3150.39	91.47	92.67	2755.74	3032.59	
8	21:31:04.808	-210.00	-628.80	4.84	-754.37	20.80	5.54	2781.99	3150.39	91.47	92.67	2755.74	3032.59	
9	21:31:04.903	-210.00	-628.80	4.84	-754.37	20.80	5.54	2781.99	3150.39	91.47	92.67	2755.74	3032.59	
10	21:31:05.010	-210.00	-628.80	4.84	-754.37	20.80	5.54	2781.99	3150.39	91.47	92.67	2755.74	3032.59	
11	21:31:05.099	-211.20	-648.00	5.26	-752.41	20.88	5.54	2789.08	3157.01	91.50	92.68	2753.97	3033.94	
12	21:31:05.208	-211.20	-648.00	5.26	-752.41	20.88	5.54	2789.08	3157.01	91.50	92.68	2753.97	3033.94	
13	21:31:05.327	-211.20	-648.00	5.26	-752.41	20.88	5.54	2789.08	3157.01	91.50	92.68	2753.97	3033.94	
14	21:31:05.415	-211.20	-648.00	5.26	-752.41	20.88	5.54	2789.08	3157.01	91.50	92.68	2753.97	3033.94	
15	21:31:05.508	-211.20	-648.00	5.26	-752.41	20.88	5.54	2789.08	3157.01	91.50	92.68	2753.97	3033.94	
16	21:31:05.606	-211.20	-648.00	5.26	-752.41	20.88	5.54	2789.08	3157.01	91.50	92.68	2753.97	3033.94	
17	21:31:05.703	-205.20	-628.80	4.42	-752.35	20.85	5.54	2788.46	3139.31	91.47	92.68	2755.25	3035.43	
18	21:31:05.834	-205.20	-628.80	4.42	-752.35	20.85	5.54	2788.46	3139.31	91.47	92.68	2755.25	3035.43	
19	21:31:05.920	-205.20	-628.80	4.42	-752.35	20.85	5.54	2788.46	3139.31	91.47	92.68	2755.25	3035.43	
20	21:31:06.007	-205.20	-628.80	4.42	-752.35	20.85	5.54	2788.46	3139.31	91.47	92.68	2755.25	3035.43	
21	21:31:06.119	-205.20	-628.80	4.42	-752.35	20.85	5.54	2788.46	3139.31	91.47	92.68	2755.25	3035.43	
22	21:31:06.212	-224.40	-680.40	4.94	-756.42	20.84	5.54	2797.91	3106.52	91.51	92.65	2752.58	3029.70	
23	21:31:06.316	-224.40	-680.40	4.94	-756.42	20.84	5.54	2797.91	3106.52	91.51	92.65	2752.58	3029.70	
24	21:31:06.413	-224.40	-680.40	4.94	-756.42	20.84	5.54	2797.91	3106.52	91.51	92.65	2752.58	3029.70	
25	21:31:06.520	-224.40	-680.40	4.94	-756.42	20.84	5.54	2797.91	3106.52	91.51	92.65	2752.58	3029.70	
26	21:31:06.632	-224.40	-680.40	4.94	-756.42	20.84	5.54	2797.91	3106.52	91.51	92.65	2752.58	3029.70	
27	21:31:06.725	-231.60	-631.20	5.58	-746.40	20.81	5.54	2774.68	3150.22	91.53	92.68	2757.67	3042.45	
28	21:31:06.816	-231.60	-631.20	5.58	-746.40	20.81	5.54	2774.68	3150.22	91.53	92.68	2757.67	3042.45	
29	21:31:06.934	-231.60	-631.20	5.58	-746.40	20.81	5.54	2774.68	3150.22	91.53	92.68	2757.67	3042.45	
30	21:31:07.014	-231.60	-631.20	5.58	-746.40	20.81	5.54	2774.68	3150.22	91.53	92.68	2757.67	3042.45	
31	21:31:07.138	-231.60	-631.20	5.58	-746.40	20.81	5.54	2774.68	3150.22	91.53	92.68	2757.67	3042.45	
32	21:31:07.225	-225.60	-632.40	5.96	-751.43	20.81	5.54	2800.86	3148.61	91.46	92.64	2761.14	3038.09	
33	21:31:07.317	-225.60	-632.40	5.96	-751.43	20.81	5.54	2800.86	3148.61	91.46	92.64	2761.14	3038.09	
34	21:31:07.432	-225.60	-632.40	5.96	-751.43	20.81	5.54	2800.86	3148.61	91.46	92.64	2761.14	3038.09	
35	21:31:07.519	-225.60	-632.40	5.96	-751.43	20.81	5.54	2800.86	3148.61	91.46	92.64	2761.14	3038.09	
36	21:31:07.642	-225.60	-632.40	5.96	-751.43	20.81	5.54	2800.86	3148.61	91.46	92.64	2761.14	3038.09	
37	21:31:07.733	-219.60	-651.60	6.57	-752.99	20.84	5.54	2767.41	3150.50	91.52	92.67	2753.19	3034.11	
38	21:31:07.822	-219.60	-651.60	6.57	-752.99	20.84	5.54	2767.41	3150.50	91.52	92.67	2753.19	3034.11	
39	21:31:07.928	-219.60	-651.60	6.57	-752.99	20.84	5.54	2767.41	3150.50	91.52	92.67	2753.19	3034.11	
40	21:31:08.026	-219.60	-651.60	6.57	-752.99	20.84	5.54	2767.41	3150.50	91.52	92.67	2753.19	3034.11	
41	21:31:08.134	-219.60	-651.60	6.57	-752.99	20.84	5.54	2767.41	3150.50	91.52	92.67	2753.19	3034.11	
42	21:31:08.224	-219.60	-651.60	6.57	-752.99	20.84	5.54	2767.41	3150.50	91.52	92.67	2753.19	3034.11	
43	21:31:08.347	-231.60	-638.40	4.51	-749.47	20.88	5.54	2762.64	3125.27	91.47	92.63	2751.13	3034.24	
44	21:31:08.430	-231.60	-638.40	4.51	-749.47	20.88	5.54	2762.64	3125.27	91.47	92.63	2751.13	3034.24	
45	21:31:08.555	-231.60	-638.40	4.51	-749.47	20.88	5.54	2762.64	3125.27	91.47	92.63	2751.13	3034.24	
46	21:31:08.637	-231.60	-638.40	4.51	-749.47	20.88	5.54	2762.64	3125.27	91.47	92.63	2751.13	3034.24	
47	21:31:08.727	-231.60	-638.40	4.51	-749.47	20.88	5.54	2762.64	3125.27	91.47	92.63	2751.13	3034.24	
48	21:31:08.831	-235.20	-640.80	4.61	-749.34	20.86	5.54	2790.99	3149.52	91.49	92.61	2751.44	3036.90	
49	21:31:08.953	-235.20	-640.80	4.61	-749.34	20.86	5.54	2790.99	3149.52	91.49	92.61	2751.44	3036.90	
50	21:31:09.032	-235.20	-640.80	4.61	-749.34	20.86	5.54	2790.99	3149.52	91.49	92.61	2751.44	3036.90	
51	21:31:09.141	-235.20	-640.80	4.61	-749.34	20.86	5.54	2790.99	3149.52	91.49	92.61	2751.44	3036.90	
52	21:31:09.232	-235.20	-640.80	4.61	-749.34	20.86	5.54	2790.99	3149.52	91.49	92.61	2751.44	3036.90	
53	21:31:09.328	-230.40	-627.60	5.05	-752.06	20.86	5.54	2775.71	3140.04	91.47	92.65	2756.09	3033.69	
54	21:31:09.447	-230.40	-627.60	5.05	-752.06	20.86	5.54	2775.71	3140.04	91.47	92.65	2756.09	3033.69	
55	21:31:09.533	-230.40	-627.60	5.05	-752.06	20.86	5.54	2775.71	3140.04	91.47	92.65	2756.09	3033.69	
56	21:31:09.635	-230.40	-627.60	5.05	-752.06	20.86	5.54	2775.71	3140.04	91.47	92.65	2756.09	3033.69	
57	21:31:09.750	-230.40	-627.60	5.05	-752.06	20.86	5.54	2775.71	3140.04	91.47	92.65	2756.09	3033.69	
58	21:31:09.836	-259.20	-662.40	4.49	-752.82	20.86	5.54	2786.30	3154.48	91.46	92.62	2756.37	3032.32	
59	21:31:09.939	-259.20	-662.40	4.49	-752.82	20.86	5.54	2786.30	3154.48	91.46	92.62	2756.37	3032.32	
60	21:31:10.040	-259.20	-662.40	4.49	-752.82	20.86	5.54	2786.30	3154.48	91.46	92.62	2756.37	3032.32	
61	21:31:10.149	-259.20	-662.40	4.49	-752.82	20.86	5.54	2786.30	3154.48	91.46	92.62	2756.37	3032.32	
62	21:31:10.235	-259.20	-662.40	4.49	-752.82	20.86	5.54	2786.30	3154.48	91.46	92.62	2756.37	3032.32	
63	21:31:10.340	-259.20	-662.40	4.49	-752.82	20.86	5.54	2786.30	3154.48	91.46	92.62	2756.37	3032.32	
64	21:31:10.441	-253.20	-612.00	5.64	-755.36	20.86	5.54	2754.14	3133.97	91.51	92.67	2752.23	3029.78	
65	21:31:10.581	-253.20	-612.00	5.64	-755.36	20.86	5.54	2754.14	3133.97	91.51	92.67	2752.23	3029.78	
66	21:31:10.663	-253.20	-612.00	5.64	-755.36	20.86	5.54	2754.14	3133.97	91.51	92.67	2752.23	3029.78	
67	21:31:10.750	-253.20	-612.00	5.64	-755.36	20.86	5.54	2754.14	3133.97	91.51	92.67	2752.23	3029.78	
68	21:31:10.843	-253.20	-612.00	5.64	-755.36	20.86	5.54	2754.14	3133.97	91.51	92.67	2752.23	3029.78	
