# pump_bw_nm_intensity_FWHM	purity
2.1000	0.93264251
2.1100	0.93412833
2.1200	0.93559229
2.1300	0.93703457
2.1400	0.93845531
2.1500	0.93985467
2.1600	0.94123280
2.1700	0.94258987
2.1800	0.94392602
2.1900	0.94524142
2.2000	0.94653620
2.2100	0.94781054
2.2200	0.94906457
2.2300	0.95029846
2.2400	0.95151235
2.2500	0.95270640
2.2600	0.95388076
2.2700	0.95503558
2.2800	0.95617100
2.2900	0.95728719
2.3000	0.95838428
2.3100	0.95946243
2.3200	0.96052178
2.3300	0.96156249
2.3400	0.96258469
2.3500	0.96358854
2.3600	0.96457418
2.3700	0.96554176
2.3800	0.96649141
2.3900	0.96742329
2.4000	0.96833754
2.4100	0.96923430
2.4200	0.97011371
2.4300	0.97097591
2.4400	0.97182104
2.4500	0.97264926
2.4600	0.97346068
2.4700	0.97425545
2.4800	0.97503372
2.4900	0.97579561
2.5000	0.97654127
2.5100	0.97727082
2.5200	0.97798441
2.5300	0.97868217
2.5400	0.97936424
2.5500	0.98003073
2.5600	0.98068180
2.5700	0.98131757
2.5800	0.98193816
2.5900	0.98254372
2.6000	0.98313437
2.6100	0.98371023
2.6200	0.98427144
2.6300	0.98481813
2.6400	0.98535042
2.6500	0.98586843
2.6600	0.98637229
2.6700	0.98686213
2.6800	0.98733807
2.6900	0.98780022
2.7000	0.98824873
2.7100	0.98868369
2.7200	0.98910524
2.7300	0.98951349
2.7400	0.98990857
2.7500	0.99029059
2.7600	0.99065967
2.7700	0.99101592
2.7800	0.99135946
2.7900	0.99169042
2.8000	0.99200889
2.8100	0.99231499
2.8200	0.99260885
2.8300	0.99289056
2.8400	0.99316025
2.8500	0.99341801
2.8600	0.99366397
2.8700	0.99389823
2.8800	0.99412090
2.8900	0.99433208
2.9000	0.99453189
2.9100	0.99472043
2.9200	0.99489780
2.9300	0.99506411
2.9400	0.99521947
2.9500	0.99536398
2.9600	0.99549773
2.9700	0.99562083
2.9800	0.99573339
2.9900	0.99583550
3.0000	0.99592726
3.0100	0.99600878
3.0200	0.99608014
3.0300	0.99614145
3.0400	0.99619280
3.0500	0.99623430
3.0600	0.99626602
3.0700	0.99628808
3.0800	0.99630056
3.0900	0.99630356
3.1000	0.99629716
3.1100	0.99628147
3.1200	0.99625656
3.1300	0.99622254
3.1400	0.99617949
3.1500	0.99612751
3.1600	0.99606667
3.1700	0.99599706
3.1800	0.99591879
3.1900	0.99583192
3.2000	0.99573655
3.2100	0.99563276
3.2200	0.99552063
3.2300	0.99540026
3.2400	0.99527171
3.2500	0.99513508
3.2600	0.99499045
3.2700	0.99483789
3.2800	0.99467749
3.2900	0.99450933
3.3000	0.99433349
3.3100	0.99415004
3.3200	0.99395906
3.3300	0.99376064
3.3400	0.99355484
3.3500	0.99334175
3.3600	0.99312143
3.3700	0.99289397
3.3800	0.99265943
3.3900	0.99241790
3.4000	0.99216944
3.4100	0.99191413
3.4200	0.99165204
3.4300	0.99138324
3.4400	0.99110780
3.4500	0.99082579
3.4600	0.99053728
3.4700	0.99024235
3.4800	0.98994104
3.4900	0.98963345
3.5000	0.98931963
3.5100	0.98899965
3.5200	0.98867357
3.5300	0.98834147
3.5400	0.98800340
3.5500	0.98765943
3.5600	0.98730963
3.5700	0.98695406
3.5800	0.98659278
3.5900	0.98622585
3.6000	0.98585334
3.6100	0.98547531
3.6200	0.98509182
3.6300	0.98470292
3.6400	0.98430868
3.6500	0.98390916
3.6600	0.98350441
3.6700	0.98309450
3.6800	0.98267948
3.6900	0.98225942
3.7000	0.98183435
3.7100	0.98140435
3.7200	0.98096947
3.7300	0.98052977
3.7400	0.98008529
3.7500	0.97963609
3.7600	0.97918223
3.7700	0.97872377
3.7800	0.97826074
3.7900	0.97779322
3.8000	0.97732124
3.8100	0.97684486
3.8200	0.97636413
3.8300	0.97587910
3.8400	0.97538983
3.8500	0.97489635
3.8600	0.97439873
3.8700	0.97389701
3.8800	0.97339124
3.8900	0.97288146
3.9000	0.97236773
3.9100	0.97185009
3.9200	0.97132859
3.9300	0.97080328
3.9400	0.97027420
3.9500	0.96974139
3.9600	0.96920491
3.9700	0.96866479
3.9800	0.96812109
3.9900	0.96757384
4.0000	0.96702309
4.0100	0.96646888
4.0200	0.96591126
4.0300	0.96535027
4.0400	0.96478595
4.0500	0.96421833
4.0600	0.96364748
4.0700	0.96307341
4.0800	0.96249618
4.0900	0.96191583
4.1000	0.96133239
