Time - Plot 0	Amplitude - Plot 0	
0	5	
1	5	
2	14	
3	5	
4	4	
5	4	
6	8	
7	8	
8	6	
9	8	
10	8	
11	10	
12	5	
13	6	
14	18	
15	5	
16	4	
17	9	
18	9	
19	5	
20	6	
21	19	
22	7	
23	5	
24	19	
25	6	
26	6	
27	10	
28	14	
29	7	
30	7	
31	7	
32	5	
33	10	
34	7	
35	11	
36	9	
37	5	
38	7	
39	20	
40	11	
41	9	
42	18	
43	9	
44	5	
45	3	
46	10	
47	6	
48	10	
49	20	
50	5	
51	7	
52	16	
53	22	
54	35	
55	80	
56	42	
57	18	
58	6	
59	6	
60	9	
61	11	
62	7	
63	2	
64	18	
65	2	
66	5	
67	12	
68	7	
69	7	
70	7	
71	19	
72	4	
73	5	
74	14	
75	3	
76	4	
77	14	
78	11	
79	6	
80	5	
81	13	
82	11	
83	11	
84	5	
85	10	
86	4	
87	5	
88	1	
89	17	
90	6	
91	6	
92	13	
93	4	
94	4	
95	5	
96	13	
97	4	
98	3	
99	21	
100	2	
101	2	
102	3	
103	9	
104	7	
105	2	
106	8	
107	11	
108	8	
109	7	
110	10	
111	12	
112	12	
113	4	
114	17	
115	8	
116	5	
117	17	
118	6	
119	7	
120	28	
121	147	
122	12	
123	17	
124	12	
125	3	
126	6	
127	4	
128	14	
129	5	
130	13	
131	7	
132	5	
133	9	
134	13	
135	9	
136	5	
137	5	
138	6	
139	12	
140	9	
141	5	
142	15	
143	8	
144	3	
145	8	
146	9	
147	2	
148	9	
149	16	
150	2	
151	8	
152	4	
153	13	
154	5	
155	7	
156	2	
157	9	
158	7	
159	1	
160	8	
161	9	
162	9	
163	3	
164	15	
165	1	
166	7	
167	11	
168	5	
169	2	
170	5	
171	18	
172	2	
173	3	
174	27	
175	9	
176	7	
177	6	
178	11	
179	5	
180	8	
181	7	
182	9	
183	9	
184	7	
185	24	
186	78	
187	69	
188	16	
189	16	
190	5	
191	7	
192	20	
193	6	
194	6	
195	5	
196	9	
197	8	
198	10	
199	16	
200	4	
201	11	
202	9	
203	14	
204	9	
205	5	
206	8	
207	18	
208	12	
209	8	
210	12	
211	11	
212	9	
213	1	
214	17	
215	4	
216	10	
217	17	
218	4	
219	3	
220	7	
221	13	
222	3	
223	2	
224	20	
225	7	
226	5	
227	8	
228	10	
229	4	
230	8	
231	4	
232	6	
233	12	
234	4	
235	16	
236	4	
237	5	
238	8	
239	11	
240	10	
241	8	
242	24	
243	6	
244	4	
245	9	
246	21	
247	12	
248	6	
249	25	
250	280	
251	2993	
252	12956	
253	11966	
254	1680	
255	74	
256	14	
257	25	
258	18	
259	5	
260	13	
261	8	
262	8	
263	3	
264	26	
265	8	
266	4	
267	23	
268	11	
269	5	
270	5	
271	23	
272	7	
273	13	
274	15	
275	4	
276	9	
277	9	
278	16	
279	5	
280	7	
281	8	
282	10	
283	6	
284	7	
285	10	
286	7	
287	8	
288	6	
289	20	
290	6	
291	7	
292	16	
293	7	
294	1	
295	8	
296	18	
297	6	
298	9	
299	20	
300	5	
301	4	
302	9	
303	14	
304	4	
305	4	
306	12	
307	10	
308	6	
309	9	
310	10	
311	8	
312	3	
313	5	
314	12	
315	2	
316	2	
317	77	
318	70	
319	20	
320	15	
321	24	
322	4	
323	2	
324	8	
325	9	
326	4	
327	10	
328	6	
329	5	
330	14	
331	5	
332	8	
333	10	
334	6	
335	12	
336	8	
337	4	
338	9	
339	10	
340	7	
341	7	
342	13	
343	4	
344	5	
345	1	
346	20	
347	1	
348	7	
349	11	
350	1	
351	5	
352	11	
353	10	
354	3	
355	9	
356	8	
357	10	
358	7	
359	5	
360	19	
361	4	
362	4	
363	3	
364	18	
365	11	
366	5	
367	14	
368	7	
369	5	
370	1	
371	14	
372	3	
373	7	
374	18	
375	3	
376	5	
377	9	
378	16	
379	3	
380	10	
381	7	
382	18	
383	51	
384	72	
385	47	
386	10	
387	12	
388	7	
389	24	
390	8	
391	4	
392	17	
393	8	
394	5	
395	7	
396	25	
397	7	
398	7	
399	13	
400	8	
401	12	
402	13	
403	26	
404	9	
405	9	
406	8	
407	20	
408	9	
409	7	
410	9	
411	19	
412	5	
413	4	
414	15	
415	4	
416	5	
417	20	
418	7	
419	5	
420	8	
421	14	
422	9	
423	3	
424	25	
425	6	
426	8	
427	5	
428	7	
429	6	
430	12	
431	4	
432	12	
433	7	
434	5	
435	14	
436	5	
437	7	
438	6	
439	19	
440	11	
441	5	
442	10	
443	15	
444	4	
445	6	
446	21	
447	7	
448	8	
449	134	
450	42	
451	46	
452	15	
453	17	
454	11	
455	7	
456	7	
457	11	
458	3	
459	9	
460	13	
461	9	
462	9	
463	2	
464	7	
465	11	
466	4	
467	15	
468	8	
469	3	
470	7	
471	12	
472	6	
473	15	
474	22	
475	9	
476	8	
477	10	
478	15	
479	9	
480	12	
481	2	
482	8	
483	11	
484	7	
485	7	
486	5	
487	14	
488	3	
489	9	
490	6	
491	0	
492	18	
493	10	
494	5	
495	9	
496	20	
497	2	
498	5	
499	17	
