Time - Plot 0	Amplitude - Plot 0	
0	4	
1	2	
2	3	
3	15	
4	4	
5	7	
6	5	
7	8	
8	1	
9	3	
10	4	
11	3	
12	5	
13	6	
14	8	
15	4	
16	1	
17	3	
18	3	
19	6	
20	3	
21	12	
22	9	
23	5	
24	12	
25	3	
26	7	
27	6	
28	12	
29	4	
30	2	
31	11	
32	8	
33	6	
34	2	
35	12	
36	8	
37	10	
38	10	
39	4	
40	6	
41	0	
42	13	
43	4	
44	8	
45	4	
46	7	
47	7	
48	7	
49	18	
50	2	
51	24	
52	169	
53	897	
54	291	
55	72	
56	5	
57	8	
58	6	
59	6	
60	10	
61	5	
62	9	
63	2	
64	11	
65	7	
66	6	
67	8	
68	3	
69	5	
70	5	
71	7	
72	1	
73	5	
74	12	
75	5	
76	3	
77	6	
78	8	
79	4	
80	7	
81	5	
82	8	
83	6	
84	4	
85	9	
86	5	
87	4	
88	4	
89	12	
90	3	
91	4	
92	13	
93	7	
94	4	
95	3	
96	12	
97	4	
98	2	
99	17	
100	8	
101	3	
102	5	
103	13	
104	9	
105	4	
106	6	
107	13	
108	7	
109	3	
110	16	
111	7	
112	10	
113	2	
114	8	
115	3	
116	3	
117	34	
118	469	
119	640	
120	259	
121	53	
122	3	
123	3	
124	10	
125	7	
126	4	
127	6	
128	13	
129	3	
130	5	
131	5	
132	10	
133	6	
134	4	
135	11	
136	3	
137	10	
138	10	
139	9	
140	5	
141	1	
142	10	
143	5	
144	7	
145	1	
146	11	
147	3	
148	4	
149	12	
150	5	
151	5	
152	3	
153	9	
154	1	
155	5	
156	8	
157	5	
158	2	
159	4	
160	11	
161	6	
162	7	
163	6	
164	7	
165	4	
166	5	
167	12	
168	8	
169	5	
170	3	
171	11	
172	2	
173	8	
174	14	
175	10	
176	8	
177	7	
178	15	
179	5	
180	8	
181	55	
182	891	
183	379	
184	59	
185	28	
186	10	
187	5	
188	5	
189	3	
190	2	
191	4	
192	4	
193	1	
194	2	
195	1	
196	5	
197	2	
198	1	
199	1	
200	2	
201	2	
202	3	
203	5	
204	1	
205	0	
206	3	
207	22	
208	8	
209	8	
210	28	
211	12	
212	25	
213	6	
214	6	
215	2	
216	2	
217	2	
218	0	
219	1	
220	1	
221	3	
222	1	
223	2	
224	2	
225	2	
226	0	
227	0	
228	1	
229	3	
230	2	
231	1	
232	6	
233	8	
234	13	
235	15	
236	5	
237	10	
238	5	
239	15	
240	8	
241	3	
242	6	
243	6	
244	6	
245	0	
246	11	
247	4	
248	6	
249	392	
250	1332	
251	787	
252	136	
253	11	
254	3	
255	2	
256	5	
257	6	
258	4	
259	3	
260	11	
261	6	
262	12	
263	4	
264	22	
265	7	
266	4	
267	14	
268	5	
269	3	
270	5	
271	4	
272	3	
273	1	
274	4	
275	1	
276	0	
277	1	
278	1	
279	0	
280	0	
281	1	
282	2	
283	6	
284	1	
285	9	
286	3	
287	13	
288	12	
289	26	
290	9	
291	8	
292	11	
293	12	
294	5	
295	8	
296	11	
297	7	
298	10	
299	13	
300	4	
301	6	
302	5	
303	8	
304	4	
305	2	
306	3	
307	7	
308	2	
309	3	
310	2	
311	1	
312	4	
313	1	
314	2	
315	2	
316	4	
317	10	
318	8	
319	105	
320	392	
321	890	
322	42	
323	12	
324	12	
325	11	
326	9	
327	9	
328	19	
329	5	
330	6	
331	16	
332	7	
333	4	
334	6	
335	8	
336	2	
337	4	
338	4	
339	11	
340	5	
341	4	
342	3	
343	5	
344	9	
345	5	
346	13	
347	7	
348	4	
349	10	
350	4	
351	3	
352	4	
353	7	
354	7	
355	4	
356	11	
357	15	
358	3	
359	12	
360	8	
361	5	
362	11	
363	7	
364	13	
365	1	
366	5	
367	10	
368	7	
369	2	
370	6	
371	8	
372	12	
373	3	
374	19	
375	3	
376	3	
377	7	
378	9	
379	2	
380	4	
381	83	
382	876	
383	396	
384	86	
385	19	
386	3	
387	6	
388	7	
389	3	
390	11	
391	7	
392	12	
393	6	
394	4	
395	7	
396	14	
397	6	
398	4	
399	14	
400	8	
401	2	
402	8	
403	9	
404	4	
405	3	
406	7	
407	12	
408	2	
409	3	
410	9	
411	2	
412	8	
413	4	
414	6	
415	1	
416	11	
417	14	
418	2	
419	8	
420	6	
421	9	
422	5	
423	0	
424	11	
425	10	
426	4	
427	8	
428	8	
429	4	
430	3	
431	5	
432	5	
433	5	
434	3	
435	8	
436	5	
437	12	
438	6	
439	9	
440	5	
441	1	
442	6	
443	7	
444	4	
445	8	
446	111	
447	342	
448	446	
449	569	
450	3	
451	2	
452	6	
453	5	
454	3	
455	3	
456	9	
457	8	
458	7	
459	3	
460	10	
461	5	
462	6	
463	5	
464	12	
465	7	
466	2	
467	11	
468	8	
469	6	
470	4	
471	8	
472	4	
473	5	
474	7	
475	9	
476	4	
477	4	
478	9	
479	3	
480	5	
481	5	
482	13	
483	2	
484	5	
485	11	
486	4	
487	3	
488	4	
489	9	
490	5	
491	5	
492	8	
493	5	
494	7	
495	3	
496	14	
497	6	
498	5	
499	10	
