Time - Plot 0	Amplitude - Plot 0	
0	3	
1	1	
2	4	
3	6	
4	4	
5	1	
6	1	
7	2	
8	2	
9	2	
10	3	
11	0	
12	8	
13	1	
14	5	
15	5	
16	2	
17	3	
18	0	
19	4	
20	2	
21	12	
22	2	
23	1	
24	5	
25	3	
26	2	
27	0	
28	5	
29	0	
30	2	
31	3	
32	7	
33	1	
34	4	
35	7	
36	5	
37	4	
38	2	
39	7	
40	2	
41	0	
42	1	
43	6	
44	3	
45	0	
46	4	
47	2	
48	1	
49	2	
50	2	
51	10	
52	87	
53	380	
54	150	
55	38	
56	1	
57	9	
58	5	
59	1	
60	2	
61	1	
62	2	
63	0	
64	5	
65	0	
66	2	
67	8	
68	2	
69	3	
70	2	
71	4	
72	5	
73	3	
74	3	
75	5	
76	4	
77	2	
78	9	
79	1	
80	2	
81	4	
82	5	
83	2	
84	2	
85	7	
86	3	
87	5	
88	4	
89	2	
90	3	
91	5	
92	5	
93	4	
94	2	
95	5	
96	3	
97	3	
98	2	
99	9	
100	2	
101	2	
102	1	
103	6	
104	0	
105	3	
106	1	
107	3	
108	7	
109	5	
110	2	
111	1	
112	3	
113	3	
114	6	
115	4	
116	4	
117	19	
118	218	
119	284	
120	115	
121	16	
122	2	
123	0	
124	3	
125	1	
126	1	
127	2	
128	8	
129	1	
130	4	
131	4	
132	5	
133	3	
134	3	
135	7	
136	2	
137	3	
138	2	
139	7	
140	3	
141	2	
142	6	
143	3	
144	5	
145	0	
146	7	
147	2	
148	2	
149	6	
150	2	
151	3	
152	3	
153	0	
154	0	
155	1	
156	3	
157	1	
158	5	
159	3	
160	6	
161	5	
162	2	
163	3	
164	2	
165	3	
166	2	
167	3	
168	1	
169	1	
170	4	
171	7	
172	1	
173	2	
174	5	
175	3	
176	4	
177	1	
178	5	
179	1	
180	3	
181	27	
182	413	
183	179	
184	52	
185	15	
186	1	
187	2	
188	0	
189	4	
190	0	
191	3	
192	1	
193	0	
194	1	
195	1	
196	2	
197	0	
198	0	
199	2	
200	1	
201	0	
202	2	
203	4	
204	1	
205	2	
206	4	
207	7	
208	6	
209	4	
210	16	
211	5	
212	11	
213	6	
214	6	
215	4	
216	0	
217	1	
218	0	
219	2	
220	0	
221	1	
222	0	
223	1	
224	2	
225	0	
226	0	
227	0	
228	2	
229	2	
230	3	
231	1	
232	4	
233	6	
234	1	
235	13	
236	2	
237	2	
238	4	
239	9	
240	1	
241	1	
242	9	
243	5	
244	1	
245	3	
246	5	
247	1	
248	0	
249	168	
250	589	
251	398	
252	73	
253	3	
254	2	
255	6	
256	2	
257	7	
258	3	
259	3	
260	3	
261	4	
262	0	
263	2	
264	10	
265	5	
266	6	
267	5	
268	4	
269	5	
270	0	
271	2	
272	0	
273	0	
274	0	
275	0	
276	1	
277	1	
278	1	
279	0	
280	1	
281	1	
282	0	
283	0	
284	1	
285	2	
286	2	
287	3	
288	6	
289	17	
290	6	
291	2	
292	13	
293	2	
294	4	
295	2	
296	8	
297	5	
298	3	
299	4	
300	1	
301	1	
302	0	
303	2	
304	0	
305	0	
306	2	
307	2	
308	1	
309	2	
310	1	
311	2	
312	1	
313	1	
314	2	
315	4	
316	0	
317	0	
318	6	
319	26	
320	182	
321	434	
322	40	
323	2	
324	7	
325	6	
326	3	
327	1	
328	4	
329	3	
330	1	
331	6	
332	6	
333	4	
334	3	
335	4	
336	1	
337	3	
338	1	
339	7	
340	2	
341	0	
342	7	
343	2	
344	2	
345	2	
346	7	
347	2	
348	0	
349	6	
350	2	
351	2	
352	8	
353	2	
354	2	
355	3	
356	7	
357	5	
358	4	
359	4	
360	6	
361	5	
362	8	
363	4	
364	10	
365	1	
366	0	
367	3	
368	5	
369	3	
370	3	
371	8	
372	0	
373	4	
374	6	
375	6	
376	7	
377	4	
378	2	
379	2	
380	5	
381	32	
382	384	
383	187	
384	45	
385	4	
386	2	
387	2	
388	3	
389	7	
390	2	
391	5	
392	6	
393	4	
394	1	
395	1	
396	4	
397	4	
398	2	
399	3	
400	3	
401	3	
402	2	
403	5	
404	4	
405	1	
406	3	
407	2	
408	3	
409	2	
410	5	
411	3	
412	5	
413	3	
414	7	
415	2	
416	5	
417	2	
418	4	
419	1	
420	0	
421	4	
422	3	
423	4	
424	4	
425	4	
426	0	
427	4	
428	5	
429	2	
430	1	
431	4	
432	8	
433	1	
434	1	
435	3	
436	1	
437	1	
438	3	
439	10	
440	2	
441	3	
442	4	
443	3	
444	4	
445	1	
446	45	
447	165	
448	197	
449	263	
450	3	
451	3	
452	2	
453	8	
454	2	
455	2	
456	1	
457	3	
458	1	
459	5	
460	5	
461	3	
462	6	
463	1	
464	3	
465	4	
466	4	
467	2	
468	3	
469	1	
470	5	
471	4	
472	4	
473	2	
474	10	
475	1	
476	6	
477	4	
478	5	
479	4	
480	1	
481	1	
482	8	
483	1	
484	3	
485	6	
486	3	
487	1	
488	9	
489	5	
490	2	
491	4	
492	2	
493	4	
494	2	
495	0	
496	6	
497	1	
498	3	
499	7	
