Time - Plot 0	Amplitude - Plot 0	
0	6	
1	8	
2	8	
3	25	
4	9	
5	4	
6	7	
7	11	
8	3	
9	2	
10	11	
11	5	
12	7	
13	5	
14	12	
15	10	
16	8	
17	17	
18	2	
19	3	
20	4	
21	10	
22	3	
23	6	
24	11	
25	10	
26	6	
27	10	
28	13	
29	8	
30	3	
31	2	
32	9	
33	11	
34	5	
35	10	
36	5	
37	6	
38	4	
39	11	
40	7	
41	3	
42	11	
43	7	
44	6	
45	6	
46	15	
47	8	
48	281	
49	7694	
50	1910	
51	359	
52	17	
53	8	
54	7	
55	5	
56	9	
57	10	
58	4	
59	2	
60	9	
61	2	
62	10	
63	3	
64	16	
65	10	
66	6	
67	12	
68	7	
69	4	
70	6	
71	9	
72	5	
73	3	
74	16	
75	5	
76	8	
77	5	
78	8	
79	2	
80	6	
81	5	
82	10	
83	4	
84	3	
85	11	
86	12	
87	9	
88	6	
89	12	
90	9	
91	7	
92	14	
93	5	
94	6	
95	3	
96	9	
97	8	
98	6	
99	14	
100	8	
101	4	
102	4	
103	7	
104	9	
105	3	
106	3	
107	12	
108	9	
109	5	
110	11	
111	3	
112	9	
113	9	
114	1449	
115	2856	
116	4220	
117	1671	
118	8	
119	4	
120	10	
121	8	
122	7	
123	9	
124	12	
125	6	
126	5	
127	7	
128	12	
129	9	
130	9	
131	9	
132	16	
133	7	
134	6	
135	7	
136	2	
137	4	
138	1	
139	7	
140	3	
141	4	
142	13	
143	9	
144	5	
145	7	
146	6	
147	6	
148	6	
149	18	
150	3	
151	7	
152	5	
153	8	
154	8	
155	7	
156	5	
157	8	
158	4	
159	8	
160	29	
161	12	
162	13	
163	3	
164	16	
165	9	
166	21	
167	28	
168	8	
169	3	
170	2	
171	14	
172	4	
173	4	
174	5	
175	2	
176	2	
177	24	
178	677	
179	2000	
180	3075	
181	2462	
182	1785	
183	92	
184	16	
185	3	
186	12	
187	7	
188	6	
189	21	
190	6	
191	3	
192	14	
193	13	
194	12	
195	4	
196	5	
197	3	
198	9	
199	15	
200	5	
201	4	
202	3	
203	14	
204	6	
205	8	
206	12	
207	27	
208	16	
209	7	
210	18	
211	4	
212	2	
213	3	
214	4	
215	3	
216	1	
217	1	
218	4	
219	2	
220	3	
221	2	
222	1	
223	4	
224	6	
225	3	
226	4	
227	2	
228	14	
229	8	
230	10	
231	15	
232	23	
233	5	
234	3	
235	10	
236	1	
237	6	
238	3	
239	9	
240	6	
241	7	
242	11	
243	8	
244	11	
245	491	
246	11178	
247	6238	
248	912	
249	21	
250	4	
251	4	
252	5	
253	7	
254	7	
255	7	
256	3	
257	13	
258	3	
259	4	
260	23	
261	14	
262	10	
263	11	
264	12	
265	1	
266	5	
267	5	
268	2	
269	2	
270	4	
271	4	
272	0	
273	2	
274	2	
275	0	
276	0	
277	0	
278	4	
279	3	
280	2	
281	0	
282	4	
283	1	
284	9	
285	45	
286	24	
287	19	
288	10	
289	17	
290	11	
291	5	
292	7	
293	2	
294	2	
295	3	
296	5	
297	2	
298	3	
299	6	
300	0	
301	2	
302	0	
303	4	
304	0	
305	0	
306	2	
307	7	
308	3	
309	5	
310	17	
311	8	
312	24	
313	531	
314	6116	
315	2756	
316	623	
317	17	
318	10	
319	3	
320	7	
321	21	
322	10	
323	6	
324	8	
325	6	
326	5	
327	5	
328	4	
329	2	
330	3	
331	5	
332	9	
333	6	
334	4	
335	14	
336	6	
337	2	
338	2	
339	16	
340	4	
341	6	
342	12	
343	5	
344	3	
345	5	
346	11	
347	5	
348	4	
349	18	
350	5	
351	6	
352	4	
353	11	
354	7	
355	7	
356	9	
357	6	
358	6	
359	8	
360	14	
361	0	
362	7	
363	4	
364	12	
365	6	
366	3	
367	20	
368	8	
369	7	
370	10	
371	5	
372	2	
373	6	
374	7	
375	16	
376	131	
377	1027	
378	7197	
379	1912	
380	36	
381	15	
382	15	
383	3	
384	7	
385	4	
386	3	
387	6	
388	9	
389	7	
390	8	
391	6	
392	13	
393	3	
394	3	
395	6	
396	6	
397	3	
398	4	
399	8	
400	7	
401	8	
402	7	
403	10	
404	8	
405	6	
406	4	
407	15	
408	12	
409	8	
410	9	
411	8	
412	3	
413	5	
414	12	
415	8	
416	5	
417	14	
418	5	
419	12	
420	9	
421	11	
422	6	
423	9	
424	18	
425	7	
426	5	
427	9	
428	13	
429	3	
430	7	
431	3	
432	8	
433	6	
434	4	
435	14	
436	5	
437	3	
438	4	
439	13	
440	8	
441	5	
442	561	
443	3139	
444	3684	
445	2325	
446	566	
447	11	
448	11	
449	16	
450	10	
451	5	
452	7	
453	7	
454	8	
455	9	
456	6	
457	8	
458	7	
459	8	
460	17	
461	9	
462	3	
463	4	
464	16	
465	7	
466	3	
467	17	
468	7	
469	14	
470	5	
471	5	
472	6	
473	7	
474	17	
475	10	
476	7	
477	7	
478	10	
479	10	
480	5	
481	7	
482	22	
483	6	
484	11	
485	16	
486	8	
487	5	
488	5	
489	10	
490	6	
491	12	
492	7	
493	4	
494	6	
495	3	
496	11	
497	3	
498	4	
499	11	
