Time - Plot 0	Amplitude - Plot 0	
0	10	
1	13	
2	8	
3	13	
4	13	
5	16	
6	8	
7	16	
8	9	
9	11	
10	17	
11	7	
12	4	
13	5	
14	13	
15	9	
16	7	
17	19	
18	6	
19	14	
20	22	
21	9	
22	13	
23	11	
24	26	
25	11	
26	12	
27	15	
28	13	
29	12	
30	4	
31	10	
32	22	
33	19	
34	10	
35	29	
36	12	
37	8	
38	11	
39	22	
40	7	
41	10	
42	24	
43	7	
44	9	
45	15	
46	17	
47	10	
48	106	
49	2112	
50	522	
51	120	
52	13	
53	21	
54	10	
55	4	
56	10	
57	29	
58	12	
59	15	
60	29	
61	15	
62	7	
63	12	
64	18	
65	11	
66	12	
67	28	
68	6	
69	6	
70	5	
71	12	
72	9	
73	13	
74	21	
75	13	
76	12	
77	21	
78	11	
79	14	
80	5	
81	7	
82	18	
83	16	
84	10	
85	32	
86	11	
87	11	
88	9	
89	21	
90	16	
91	7	
92	39	
93	13	
94	13	
95	6	
96	24	
97	13	
98	17	
99	27	
100	13	
101	13	
102	9	
103	15	
104	8	
105	7	
106	8	
107	19	
108	10	
109	11	
110	14	
111	10	
112	12	
113	8	
114	412	
115	876	
116	1178	
117	418	
118	14	
119	11	
120	17	
121	20	
122	13	
123	8	
124	17	
125	13	
126	5	
127	10	
128	39	
129	11	
130	16	
131	10	
132	37	
133	12	
134	14	
135	10	
136	10	
137	6	
138	7	
139	17	
140	12	
141	12	
142	21	
143	3	
144	5	
145	7	
146	15	
147	10	
148	14	
149	17	
150	9	
151	9	
152	13	
153	23	
154	10	
155	6	
156	9	
157	17	
158	7	
159	11	
160	29	
161	22	
162	13	
163	8	
164	34	
165	32	
166	35	
167	40	
168	7	
169	10	
170	8	
171	14	
172	4	
173	5	
174	4	
175	5	
176	3	
177	6	
178	208	
179	647	
180	890	
181	669	
182	418	
183	19	
184	7	
185	18	
186	13	
187	16	
188	10	
189	23	
190	15	
191	15	
192	26	
193	26	
194	12	
195	13	
196	19	
197	10	
198	13	
199	24	
200	7	
201	11	
202	5	
203	24	
204	13	
205	13	
206	19	
207	57	
208	30	
209	35	
210	41	
211	10	
212	6	
213	2	
214	6	
215	4	
216	2	
217	6	
218	4	
219	2	
220	2	
221	10	
222	5	
223	5	
224	6	
225	4	
226	2	
227	3	
228	14	
229	16	
230	15	
231	27	
232	45	
233	17	
234	14	
235	23	
236	6	
237	11	
238	3	
239	23	
240	8	
241	9	
242	24	
243	10	
244	7	
245	167	
246	3049	
247	1812	
248	225	
249	26	
250	13	
251	9	
252	10	
253	14	
254	4	
255	10	
256	17	
257	31	
258	9	
259	9	
260	28	
261	13	
262	17	
263	23	
264	28	
265	4	
266	11	
267	15	
268	6	
269	3	
270	3	
271	3	
272	0	
273	2	
274	4	
275	4	
276	2	
277	3	
278	5	
279	4	
280	0	
281	2	
282	11	
283	12	
284	19	
285	80	
286	32	
287	21	
288	20	
289	37	
290	12	
291	20	
292	13	
293	5	
294	3	
295	6	
296	9	
297	4	
298	5	
299	5	
300	3	
301	6	
302	6	
303	9	
304	1	
305	8	
306	6	
307	10	
308	8	
309	11	
310	35	
311	25	
312	34	
313	161	
314	1816	
315	736	
316	163	
317	34	
318	12	
319	20	
320	16	
321	25	
322	8	
323	17	
324	24	
325	9	
326	9	
327	10	
328	14	
329	5	
330	9	
331	8	
332	15	
333	11	
334	9	
335	26	
336	11	
337	7	
338	6	
339	15	
340	6	
341	10	
342	20	
343	5	
344	7	
345	9	
346	20	
347	9	
348	14	
349	17	
350	13	
351	12	
352	12	
353	21	
354	9	
355	17	
356	15	
357	27	
358	11	
359	4	
360	27	
361	11	
362	8	
363	14	
364	21	
365	10	
366	14	
367	26	
368	8	
369	16	
370	8	
371	17	
372	7	
373	13	
374	24	
375	15	
376	45	
377	338	
378	1932	
379	474	
380	18	
381	13	
382	23	
383	9	
384	10	
385	24	
386	7	
387	7	
388	21	
389	17	
390	11	
391	10	
392	20	
393	15	
394	13	
395	14	
396	15	
397	15	
398	10	
399	21	
400	6	
401	15	
402	13	
403	17	
404	10	
405	14	
406	10	
407	24	
408	10	
409	9	
410	13	
411	12	
412	11	
413	8	
414	21	
415	6	
416	10	
417	23	
418	10	
419	9	
420	7	
421	16	
422	11	
423	8	
424	30	
425	12	
426	6	
427	10	
428	17	
429	8	
430	10	
431	20	
432	26	
433	9	
434	12	
435	32	
436	8	
437	10	
438	10	
439	19	
440	10	
441	18	
442	187	
443	872	
444	989	
445	703	
446	173	
447	14	
448	12	
449	19	
450	5	
451	6	
452	12	
453	17	
454	12	
455	12	
456	9	
457	15	
458	7	
459	9	
460	17	
461	15	
462	11	
463	8	
464	22	
465	10	
466	13	
467	18	
468	9	
469	6	
470	9	
471	18	
472	11	
473	13	
474	31	
475	10	
476	15	
477	12	
478	22	
479	10	
480	10	
481	14	
482	21	
483	12	
484	5	
485	20	
486	5	
487	7	
488	4	
489	15	
490	9	
491	14	
492	20	
493	16	
494	11	
495	13	
496	16	
497	8	
498	7	
499	20	
