Time - Plot 0	Amplitude - Plot 0	
0	7	
1	15	
2	15	
3	29	
4	14	
5	14	
6	15	
7	16	
8	7	
9	8	
10	20	
11	9	
12	9	
13	8	
14	21	
15	10	
16	11	
17	31	
18	9	
19	14	
20	15	
21	13	
22	12	
23	14	
24	22	
25	15	
26	15	
27	11	
28	25	
29	7	
30	11	
31	17	
32	21	
33	9	
34	17	
35	25	
36	16	
37	9	
38	14	
39	11	
40	7	
41	13	
42	21	
43	9	
44	12	
45	8	
46	20	
47	13	
48	100	
49	2187	
50	519	
51	102	
52	10	
53	28	
54	9	
55	7	
56	5	
57	20	
58	15	
59	12	
60	26	
61	12	
62	11	
63	10	
64	23	
65	7	
66	13	
67	17	
68	17	
69	14	
70	11	
71	11	
72	8	
73	7	
74	25	
75	17	
76	17	
77	12	
78	13	
79	10	
80	7	
81	11	
82	24	
83	9	
84	7	
85	24	
86	11	
87	9	
88	6	
89	20	
90	12	
91	11	
92	30	
93	8	
94	10	
95	13	
96	12	
97	7	
98	9	
99	20	
100	9	
101	12	
102	9	
103	17	
104	8	
105	11	
106	12	
107	17	
108	6	
109	10	
110	23	
111	7	
112	9	
113	12	
114	444	
115	835	
116	1161	
117	474	
118	11	
119	11	
120	12	
121	17	
122	9	
123	11	
124	19	
125	9	
126	12	
127	13	
128	24	
129	12	
130	13	
131	15	
132	19	
133	17	
134	10	
135	16	
136	9	
137	8	
138	5	
139	13	
140	2	
141	6	
142	25	
143	20	
144	8	
145	12	
146	17	
147	10	
148	4	
149	26	
150	12	
151	10	
152	7	
153	13	
154	10	
155	5	
156	11	
157	17	
158	9	
159	10	
160	49	
161	17	
162	12	
163	11	
164	35	
165	28	
166	33	
167	41	
168	8	
169	4	
170	8	
171	10	
172	5	
173	4	
174	9	
175	6	
176	2	
177	17	
178	217	
179	600	
180	938	
181	678	
182	400	
183	19	
184	7	
185	11	
186	16	
187	6	
188	13	
189	26	
190	16	
191	14	
192	39	
193	17	
194	28	
195	15	
196	31	
197	7	
198	6	
199	25	
200	13	
201	10	
202	12	
203	25	
204	13	
205	7	
206	18	
207	48	
208	21	
209	25	
210	38	
211	3	
212	6	
213	3	
214	4	
215	8	
216	3	
217	4	
218	2	
219	3	
220	2	
221	4	
222	3	
223	2	
224	12	
225	1	
226	7	
227	6	
228	11	
229	13	
230	24	
231	23	
232	40	
233	19	
234	12	
235	25	
236	10	
237	10	
238	9	
239	16	
240	7	
241	5	
242	21	
243	6	
244	15	
245	164	
246	3132	
247	1640	
248	207	
249	31	
250	8	
251	9	
252	7	
253	15	
254	9	
255	14	
256	12	
257	24	
258	7	
259	14	
260	46	
261	16	
262	16	
263	27	
264	19	
265	8	
266	10	
267	17	
268	5	
269	6	
270	3	
271	5	
272	2	
273	2	
274	3	
275	4	
276	3	
277	2	
278	4	
279	4	
280	3	
281	2	
282	7	
283	2	
284	14	
285	85	
286	39	
287	27	
288	20	
289	38	
290	16	
291	13	
292	11	
293	3	
294	1	
295	7	
296	7	
297	5	
298	2	
299	9	
300	1	
301	2	
302	4	
303	8	
304	6	
305	6	
306	7	
307	14	
308	5	
309	10	
310	30	
311	24	
312	31	
313	174	
314	1833	
315	720	
316	147	
317	27	
318	15	
319	17	
320	21	
321	24	
322	16	
323	16	
324	21	
325	7	
326	6	
327	9	
328	12	
329	11	
330	6	
331	7	
332	12	
333	8	
334	6	
335	14	
336	12	
337	6	
338	10	
339	18	
340	6	
341	10	
342	23	
343	12	
344	6	
345	7	
346	17	
347	6	
348	10	
349	24	
350	15	
351	7	
352	15	
353	18	
354	15	
355	10	
356	13	
357	19	
358	8	
359	15	
360	21	
361	7	
362	17	
363	13	
364	18	
365	9	
366	11	
367	25	
368	13	
369	12	
370	8	
371	17	
372	17	
373	14	
374	22	
375	13	
376	42	
377	331	
378	1977	
379	526	
380	22	
381	13	
382	26	
383	5	
384	8	
385	20	
386	13	
387	5	
388	9	
389	23	
390	11	
391	20	
392	19	
393	10	
394	8	
395	9	
396	9	
397	12	
398	13	
399	25	
400	5	
401	7	
402	12	
403	27	
404	11	
405	13	
406	7	
407	19	
408	9	
409	12	
410	24	
411	12	
412	15	
413	9	
414	17	
415	5	
416	6	
417	22	
418	14	
419	10	
420	13	
421	17	
422	11	
423	9	
424	24	
425	12	
426	9	
427	8	
428	23	
429	10	
430	9	
431	9	
432	25	
433	8	
434	11	
435	25	
436	10	
437	9	
438	7	
439	11	
440	5	
441	16	
442	215	
443	880	
444	996	
445	659	
446	180	
447	13	
448	9	
449	25	
450	12	
451	6	
452	6	
453	22	
454	12	
455	8	
456	13	
457	16	
458	7	
459	11	
460	22	
461	10	
462	12	
463	17	
464	23	
465	12	
466	11	
467	19	
468	7	
469	7	
470	11	
471	13	
472	8	
473	14	
474	31	
475	4	
476	12	
477	8	
478	19	
479	10	
480	8	
481	12	
482	20	
483	9	
484	9	
485	28	
486	11	
487	12	
488	12	
489	15	
490	11	
491	10	
492	27	
493	6	
494	9	
495	11	
496	21	
497	11	
498	12	
499	19	
