Time - Plot 0	Amplitude - Plot 0	
0	8	
1	9	
2	10	
3	26	
4	12	
5	13	
6	7	
7	24	
8	7	
9	8	
10	26	
11	16	
12	9	
13	13	
14	27	
15	16	
16	12	
17	32	
18	19	
19	13	
20	11	
21	19	
22	8	
23	8	
24	27	
25	15	
26	13	
27	17	
28	18	
29	8	
30	12	
31	8	
32	13	
33	11	
34	16	
35	28	
36	10	
37	11	
38	8	
39	18	
40	4	
41	16	
42	24	
43	5	
44	9	
45	11	
46	20	
47	10	
48	111	
49	2310	
50	546	
51	106	
52	23	
53	22	
54	20	
55	10	
56	13	
57	17	
58	7	
59	9	
60	18	
61	6	
62	16	
63	10	
64	27	
65	12	
66	11	
67	38	
68	12	
69	10	
70	11	
71	14	
72	11	
73	7	
74	32	
75	14	
76	13	
77	10	
78	20	
79	11	
80	9	
81	9	
82	25	
83	14	
84	12	
85	21	
86	13	
87	10	
88	12	
89	22	
90	11	
91	11	
92	29	
93	13	
94	13	
95	10	
96	18	
97	12	
98	15	
99	34	
100	11	
101	12	
102	10	
103	22	
104	16	
105	17	
106	13	
107	32	
108	9	
109	8	
110	22	
111	11	
112	13	
113	19	
114	485	
115	945	
116	1282	
117	507	
118	14	
119	15	
120	19	
121	13	
122	9	
123	12	
124	26	
125	11	
126	12	
127	16	
128	33	
129	20	
130	15	
131	9	
132	41	
133	11	
134	18	
135	12	
136	6	
137	10	
138	9	
139	18	
140	14	
141	12	
142	28	
143	15	
144	9	
145	6	
146	21	
147	12	
148	10	
149	14	
150	5	
151	12	
152	16	
153	25	
154	20	
155	7	
156	11	
157	17	
158	14	
159	11	
160	59	
161	15	
162	14	
163	21	
164	43	
165	32	
166	35	
167	60	
168	11	
169	18	
170	4	
171	13	
172	6	
173	2	
174	9	
175	4	
176	7	
177	9	
178	223	
179	699	
180	982	
181	731	
182	520	
183	30	
184	4	
185	14	
186	10	
187	13	
188	11	
189	40	
190	19	
191	18	
192	43	
193	25	
194	12	
195	17	
196	21	
197	12	
198	12	
199	34	
200	9	
201	7	
202	10	
203	25	
204	11	
205	20	
206	19	
207	48	
208	34	
209	31	
210	41	
211	12	
212	12	
213	2	
214	10	
215	3	
216	1	
217	6	
218	1	
219	8	
220	3	
221	5	
222	1	
223	8	
224	8	
225	2	
226	5	
227	2	
228	16	
229	20	
230	23	
231	25	
232	61	
233	21	
234	10	
235	17	
236	10	
237	9	
238	10	
239	22	
240	10	
241	18	
242	28	
243	12	
244	10	
245	178	
246	3479	
247	1898	
248	237	
249	36	
250	10	
251	11	
252	9	
253	16	
254	9	
255	11	
256	10	
257	26	
258	17	
259	14	
260	29	
261	19	
262	19	
263	11	
264	20	
265	8	
266	12	
267	10	
268	5	
269	5	
270	4	
271	3	
272	1	
273	4	
274	5	
275	2	
276	7	
277	6	
278	7	
279	3	
280	0	
281	7	
282	11	
283	17	
284	11	
285	96	
286	36	
287	31	
288	33	
289	32	
290	21	
291	18	
292	11	
293	8	
294	3	
295	6	
296	13	
297	6	
298	4	
299	10	
300	5	
301	6	
302	3	
303	7	
304	5	
305	5	
306	6	
307	13	
308	12	
309	12	
310	27	
311	28	
312	34	
313	203	
314	1954	
315	805	
316	198	
317	33	
318	24	
319	20	
320	8	
321	36	
322	13	
323	13	
324	24	
325	11	
326	4	
327	6	
328	16	
329	8	
330	11	
331	9	
332	22	
333	14	
334	13	
335	24	
336	12	
337	17	
338	12	
339	16	
340	13	
341	8	
342	21	
343	17	
344	11	
345	9	
346	22	
347	13	
348	14	
349	23	
350	12	
351	14	
352	15	
353	26	
354	11	
355	10	
356	12	
357	22	
358	9	
359	9	
360	27	
361	11	
362	10	
363	21	
364	34	
365	12	
366	15	
367	24	
368	10	
369	11	
370	8	
371	12	
372	8	
373	8	
374	25	
375	14	
376	68	
377	349	
378	2229	
379	579	
380	20	
381	9	
382	26	
383	12	
384	9	
385	22	
386	20	
387	8	
388	13	
389	23	
390	10	
391	20	
392	35	
393	21	
394	14	
395	13	
396	23	
397	8	
398	20	
399	19	
400	11	
401	3	
402	6	
403	22	
404	18	
405	10	
406	9	
407	22	
408	11	
409	8	
410	30	
411	12	
412	5	
413	6	
414	25	
415	3	
416	15	
417	23	
418	12	
419	9	
420	15	
421	17	
422	14	
423	10	
424	20	
425	10	
426	12	
427	12	
428	22	
429	12	
430	10	
431	8	
432	35	
433	12	
434	8	
435	27	
436	12	
437	10	
438	12	
439	19	
440	13	
441	7	
442	242	
443	1032	
444	1088	
445	684	
446	184	
447	21	
448	15	
449	35	
450	7	
451	16	
452	14	
453	16	
454	15	
455	15	
456	9	
457	20	
458	10	
459	15	
460	25	
461	17	
462	13	
463	5	
464	24	
465	8	
466	15	
467	26	
468	13	
469	6	
470	7	
471	15	
472	9	
473	12	
474	28	
475	8	
476	6	
477	14	
478	21	
479	6	
480	6	
481	16	
482	19	
483	9	
484	11	
485	22	
486	13	
487	8	
488	13	
489	16	
490	7	
491	11	
492	22	
493	22	
494	15	
495	12	
496	20	
497	9	
498	17	
499	24	
