Time - Plot 0	Amplitude - Plot 0	
0	12	
1	12	
2	14	
3	19	
4	10	
5	12	
6	6	
7	26	
8	9	
9	9	
10	17	
11	11	
12	11	
13	6	
14	17	
15	13	
16	13	
17	21	
18	11	
19	9	
20	11	
21	15	
22	11	
23	16	
24	29	
25	13	
26	11	
27	9	
28	21	
29	10	
30	5	
31	13	
32	31	
33	13	
34	9	
35	28	
36	9	
37	4	
38	13	
39	14	
40	13	
41	10	
42	27	
43	9	
44	13	
45	3	
46	20	
47	12	
48	113	
49	2197	
50	493	
51	108	
52	11	
53	28	
54	13	
55	8	
56	7	
57	27	
58	9	
59	16	
60	25	
61	13	
62	10	
63	11	
64	20	
65	9	
66	14	
67	34	
68	11	
69	11	
70	10	
71	21	
72	15	
73	8	
74	19	
75	11	
76	15	
77	7	
78	18	
79	9	
80	4	
81	4	
82	31	
83	10	
84	8	
85	19	
86	9	
87	7	
88	7	
89	23	
90	4	
91	6	
92	21	
93	20	
94	11	
95	9	
96	14	
97	11	
98	10	
99	26	
100	13	
101	18	
102	15	
103	21	
104	6	
105	12	
106	11	
107	16	
108	19	
109	7	
110	21	
111	11	
112	14	
113	8	
114	433	
115	861	
116	1180	
117	470	
118	11	
119	11	
120	9	
121	19	
122	6	
123	18	
124	13	
125	9	
126	11	
127	13	
128	26	
129	9	
130	10	
131	11	
132	21	
133	8	
134	11	
135	16	
136	6	
137	4	
138	8	
139	15	
140	10	
141	12	
142	29	
143	9	
144	8	
145	3	
146	18	
147	4	
148	12	
149	15	
150	9	
151	14	
152	12	
153	18	
154	11	
155	10	
156	7	
157	16	
158	10	
159	12	
160	42	
161	19	
162	9	
163	11	
164	41	
165	19	
166	40	
167	49	
168	7	
169	4	
170	7	
171	9	
172	2	
173	5	
174	4	
175	4	
176	6	
177	7	
178	173	
179	578	
180	844	
181	700	
182	491	
183	30	
184	3	
185	11	
186	12	
187	7	
188	9	
189	22	
190	15	
191	20	
192	39	
193	23	
194	18	
195	10	
196	12	
197	5	
198	13	
199	14	
200	12	
201	14	
202	9	
203	16	
204	13	
205	20	
206	14	
207	49	
208	21	
209	30	
210	41	
211	10	
212	10	
213	5	
214	8	
215	0	
216	3	
217	9	
218	3	
219	3	
220	2	
221	4	
222	5	
223	1	
224	8	
225	4	
226	6	
227	2	
228	9	
229	21	
230	22	
231	22	
232	33	
233	21	
234	11	
235	20	
236	5	
237	10	
238	6	
239	22	
240	8	
241	6	
242	20	
243	11	
244	11	
245	150	
246	3151	
247	1669	
248	203	
249	28	
250	9	
251	14	
252	1	
253	19	
254	10	
255	12	
256	8	
257	29	
258	7	
259	15	
260	32	
261	21	
262	19	
263	24	
264	23	
265	10	
266	7	
267	12	
268	2	
269	7	
270	4	
271	8	
272	0	
273	0	
274	8	
275	2	
276	3	
277	5	
278	4	
279	5	
280	1	
281	5	
282	11	
283	9	
284	12	
285	79	
286	33	
287	31	
288	21	
289	43	
290	18	
291	14	
292	8	
293	7	
294	4	
295	6	
296	8	
297	8	
298	2	
299	6	
300	3	
301	3	
302	5	
303	9	
304	4	
305	3	
306	4	
307	13	
308	7	
309	8	
310	36	
311	40	
312	20	
313	179	
314	1794	
315	704	
316	181	
317	31	
318	20	
319	15	
320	18	
321	27	
322	21	
323	23	
324	28	
325	6	
326	9	
327	10	
328	11	
329	6	
330	4	
331	5	
332	23	
333	12	
334	7	
335	23	
336	13	
337	13	
338	12	
339	31	
340	9	
341	10	
342	24	
343	7	
344	7	
345	6	
346	15	
347	9	
348	6	
349	30	
350	16	
351	14	
352	7	
353	24	
354	17	
355	14	
356	10	
357	17	
358	9	
359	5	
360	25	
361	9	
362	12	
363	15	
364	12	
365	8	
366	14	
367	22	
368	6	
369	8	
370	10	
371	9	
372	4	
373	14	
374	15	
375	10	
376	45	
377	316	
378	1955	
379	562	
380	17	
381	12	
382	30	
383	8	
384	9	
385	23	
386	14	
387	9	
388	6	
389	20	
390	12	
391	16	
392	24	
393	12	
394	6	
395	12	
396	11	
397	10	
398	5	
399	28	
400	10	
401	10	
402	13	
403	19	
404	10	
405	11	
406	7	
407	19	
408	9	
409	6	
410	24	
411	9	
412	10	
413	8	
414	15	
415	9	
416	7	
417	26	
418	10	
419	14	
420	10	
421	24	
422	10	
423	10	
424	15	
425	8	
426	12	
427	5	
428	14	
429	10	
430	12	
431	8	
432	20	
433	11	
434	12	
435	32	
436	8	
437	9	
438	8	
439	32	
440	9	
441	11	
442	193	
443	959	
444	1038	
445	684	
446	188	
447	9	
448	11	
449	27	
450	18	
451	6	
452	11	
453	14	
454	12	
455	10	
456	12	
457	23	
458	12	
459	6	
460	26	
461	14	
462	7	
463	11	
464	21	
465	8	
466	15	
467	18	
468	9	
469	8	
470	8	
471	23	
472	11	
473	9	
474	22	
475	15	
476	10	
477	11	
478	19	
479	14	
480	10	
481	9	
482	20	
483	7	
484	2	
485	23	
486	12	
487	16	
488	6	
489	21	
490	11	
491	9	
492	28	
493	10	
494	12	
495	13	
496	28	
497	7	
498	10	
499	27	
