Time - Plot 0	Amplitude - Plot 0	
0	38	
1	30	
2	34	
3	53	
4	40	
5	24	
6	30	
7	66	
8	31	
9	39	
10	75	
11	28	
12	29	
13	13	
14	56	
15	29	
16	36	
17	76	
18	36	
19	34	
20	27	
21	63	
22	24	
23	31	
24	78	
25	24	
26	22	
27	26	
28	58	
29	25	
30	21	
31	34	
32	61	
33	44	
34	33	
35	63	
36	23	
37	29	
38	18	
39	51	
40	27	
41	31	
42	77	
43	42	
44	34	
45	25	
46	59	
47	32	
48	150	
49	2837	
50	672	
51	151	
52	43	
53	53	
54	31	
55	31	
56	23	
57	56	
58	40	
59	32	
60	82	
61	39	
62	42	
63	34	
64	61	
65	19	
66	32	
67	63	
68	34	
69	30	
70	28	
71	53	
72	23	
73	42	
74	77	
75	33	
76	32	
77	33	
78	57	
79	28	
80	24	
81	26	
82	58	
83	37	
84	45	
85	64	
86	32	
87	28	
88	22	
89	55	
90	36	
91	34	
92	80	
93	36	
94	32	
95	23	
96	47	
97	29	
98	31	
99	79	
100	37	
101	43	
102	24	
103	59	
104	27	
105	22	
106	23	
107	58	
108	23	
109	32	
110	56	
111	32	
112	27	
113	29	
114	594	
115	1136	
116	1517	
117	653	
118	38	
119	33	
120	34	
121	54	
122	21	
123	36	
124	61	
125	31	
126	46	
127	40	
128	84	
129	38	
130	38	
131	32	
132	82	
133	38	
134	21	
135	46	
136	28	
137	15	
138	16	
139	68	
140	26	
141	24	
142	67	
143	36	
144	27	
145	30	
146	52	
147	37	
148	27	
149	51	
150	32	
151	27	
152	23	
153	60	
154	32	
155	41	
156	29	
157	46	
158	20	
159	28	
160	141	
161	50	
162	53	
163	31	
164	111	
165	74	
166	133	
167	142	
168	26	
169	24	
170	14	
171	21	
172	18	
173	6	
174	21	
175	10	
176	14	
177	20	
178	188	
179	697	
180	1114	
181	990	
182	699	
183	50	
184	11	
185	26	
186	21	
187	30	
188	40	
189	71	
190	35	
191	45	
192	112	
193	65	
194	46	
195	44	
196	49	
197	22	
198	24	
199	79	
200	32	
201	24	
202	25	
203	55	
204	31	
205	30	
206	47	
207	151	
208	80	
209	65	
210	115	
211	20	
212	15	
213	19	
214	28	
215	5	
216	8	
217	21	
218	8	
219	6	
220	14	
221	19	
222	5	
223	17	
224	24	
225	12	
226	18	
227	20	
228	46	
229	43	
230	51	
231	60	
232	114	
233	42	
234	39	
235	69	
236	40	
237	24	
238	36	
239	53	
240	24	
241	26	
242	72	
243	27	
244	40	
245	239	
246	3993	
247	2172	
248	300	
249	70	
250	36	
251	24	
252	23	
253	51	
254	35	
255	39	
256	35	
257	67	
258	38	
259	41	
260	107	
261	51	
262	64	
263	61	
264	80	
265	20	
266	21	
267	34	
268	9	
269	7	
270	4	
271	13	
272	3	
273	7	
274	20	
275	12	
276	7	
277	8	
278	19	
279	12	
280	11	
281	15	
282	16	
283	14	
284	44	
285	223	
286	121	
287	67	
288	75	
289	127	
290	39	
291	34	
292	34	
293	9	
294	11	
295	13	
296	30	
297	3	
298	8	
299	25	
300	20	
301	15	
302	14	
303	30	
304	14	
305	13	
306	18	
307	32	
308	24	
309	19	
310	101	
311	81	
312	76	
313	250	
314	2401	
315	944	
316	222	
317	91	
318	39	
319	60	
320	46	
321	96	
322	54	
323	45	
324	67	
325	35	
326	26	
327	28	
328	55	
329	26	
330	20	
331	29	
332	58	
333	24	
334	20	
335	82	
336	43	
337	39	
338	36	
339	44	
340	28	
341	26	
342	47	
343	32	
344	25	
345	29	
346	45	
347	17	
348	32	
349	76	
350	48	
351	45	
352	33	
353	66	
354	46	
355	31	
356	32	
357	61	
358	26	
359	22	
360	77	
361	37	
362	37	
363	29	
364	86	
365	29	
366	33	
367	72	
368	28	
369	24	
370	30	
371	43	
372	25	
373	30	
374	63	
375	34	
376	97	
377	426	
378	2621	
379	695	
380	47	
381	39	
382	53	
383	29	
384	26	
385	56	
386	27	
387	31	
388	31	
389	56	
390	27	
391	33	
392	78	
393	34	
394	30	
395	32	
396	45	
397	31	
398	34	
399	52	
400	38	
401	30	
402	27	
403	51	
404	18	
405	28	
406	26	
407	52	
408	30	
409	31	
410	56	
411	28	
412	34	
413	28	
414	70	
415	26	
416	27	
417	64	
418	37	
419	31	
420	36	
421	45	
422	42	
423	44	
424	65	
425	25	
426	28	
427	27	
428	45	
429	34	
430	36	
431	31	
432	81	
433	37	
434	19	
435	55	
436	26	
437	35	
438	24	
439	53	
440	24	
441	33	
442	284	
443	1223	
444	1380	
445	900	
446	251	
447	46	
448	31	
449	84	
450	44	
451	29	
452	39	
453	49	
454	39	
455	25	
456	31	
457	57	
458	29	
459	39	
460	79	
461	42	
462	28	
463	31	
464	53	
465	27	
466	27	
467	63	
468	30	
469	36	
470	34	
471	50	
472	28	
473	36	
474	58	
475	41	
476	33	
477	30	
478	56	
479	40	
480	29	
481	31	
482	59	
483	25	
484	20	
485	57	
486	34	
487	36	
488	32	
489	64	
490	38	
491	35	
492	78	
493	50	
494	34	
495	27	
496	52	
497	24	
498	30	
499	52	
