domain_index,orientation,z_start_um,z_end_um,length_um
0.0,1.0,0.0,2.0944958207196245,2.0944958207196245
1.0,-1.0,2.0944958207196245,15.497,13.402504179280376
2.0,1.0,15.497,30.494,14.997
3.0,-1.0,30.494,30.994,0.5
4.0,1.0,30.994,45.991,14.997
5.0,-1.0,45.991,46.491,0.5
6.0,1.0,46.491,61.488,14.997
7.0,-1.0,61.488,61.988,0.5
8.0,1.0,61.988,76.985,14.997
9.0,-1.0,76.985,77.485,0.5
10.0,1.0,77.485,92.482,14.997
11.0,-1.0,92.482,92.982,0.5
12.0,1.0,92.982,94.91396953535585,1.9319695353558473
13.0,-1.0,94.91396953535585,108.479,13.565030464644153
14.0,1.0,108.479,110.19556342986421,1.716563429864209
15.0,-1.0,110.19556342986421,123.976,13.780436570135791
16.0,1.0,123.976,125.57895231722,1.6029523172200015
17.0,-1.0,125.57895231722,139.473,13.894047682780013
18.0,1.0,139.473,141.01541407996035,1.5424140799603379
19.0,-1.0,141.01541407996035,154.97000000000003,13.954585920039676
20.0,1.0,154.97,156.4476985149469,1.4776985149468942
21.0,-1.0,156.4476985149469,170.46699999999998,14.019301485053091
22.0,1.0,170.46699999999998,171.94344859285255,1.476448592852563
23.0,-1.0,171.94344859285255,185.964,14.020551407147451
24.0,1.0,185.964,187.32663563409295,1.3626356340929533
25.0,-1.0,187.32663563409295,201.461,14.13436436590706
26.0,1.0,201.461,202.71317987317886,1.2521798731788465
27.0,-1.0,202.71317987317886,216.95800000000003,14.244820126821168
28.0,1.0,216.958,218.1335983950533,1.1755983950532993
29.0,-1.0,218.1335983950533,232.45499999999998,14.321401604946686
30.0,1.0,232.45499999999998,233.5455986582095,1.0905986582095295
31.0,-1.0,233.5455986582095,247.952,14.406401341790485
32.0,1.0,247.952,248.97394296849177,1.0219429684917714
33.0,-1.0,248.97394296849177,263.449,14.475057031508243
34.0,1.0,263.449,264.37726217527177,0.9282621752717546
35.0,-1.0,264.37726217527177,278.946,14.56873782472826
36.0,1.0,278.946,279.77883286394297,0.8328328639429401
37.0,-1.0,279.77883286394297,294.44300000000004,14.664167136057074
38.0,1.0,294.443,295.19510565833,0.7521056583300378
39.0,-1.0,295.19510565833,309.94,14.744894341669976
40.0,1.0,309.94,310.6014798819745,0.6614798819745147
41.0,-1.0,310.6014798819745,325.437,14.8355201180255
42.0,1.0,325.437,325.9696154026664,0.5326154026664085
43.0,-1.0,325.9696154026664,340.934,14.964384597333606
44.0,1.0,340.93399999999997,341.6153318928414,0.681331892841456
45.0,-1.0,341.6153318928414,356.431,14.815668107158558
46.0,1.0,356.431,356.9395142227171,0.5085142227171104
47.0,-1.0,356.9395142227171,371.928,14.988485777282904
48.0,1.0,371.928,372.42839721932864,0.5003972193286472
49.0,-1.0,372.42839721932864,387.425,14.996602780671367
50.0,1.0,387.425,387.92504957254886,0.5000495725488463
51.0,-1.0,387.92504957254886,402.922,14.996950427451168
52.0,1.0,402.922,403.422,0.5
53.0,-1.0,403.422,418.41900000000004,14.997000000000014
54.0,1.0,418.419,418.919,0.5
55.0,-1.0,418.919,433.916,14.997000000000014
56.0,1.0,433.916,434.416,0.5
57.0,-1.0,434.416,449.413,14.997000000000014
58.0,1.0,449.413,449.913,0.5
59.0,-1.0,449.913,464.91,14.997000000000014
60.0,1.0,464.90999999999997,465.40999999999997,0.5
61.0,-1.0,465.40999999999997,480.407,14.997000000000014
62.0,1.0,480.407,480.907,0.5
63.0,-1.0,480.907,495.904,14.997000000000014
64.0,1.0,495.904,496.404,0.5
65.0,-1.0,496.404,511.401,14.997000000000014
66.0,1.0,511.401,511.901,0.5
67.0,-1.0,511.901,526.898,14.997000000000014
68.0,1.0,526.898,527.398,0.5
69.0,-1.0,527.398,542.395,14.996999999999957
70.0,1.0,542.395,542.895,0.5
71.0,-1.0,542.895,557.8919999999999,14.996999999999957
72.0,1.0,557.892,558.392,0.5
73.0,-1.0,558.392,573.389,14.996999999999957
74.0,1.0,573.389,573.889,0.5
75.0,-1.0,573.889,588.886,14.996999999999957
76.0,1.0,588.886,589.386,0.5
77.0,-1.0,589.386,604.3829999999999,14.996999999999957
78.0,1.0,604.383,604.883,0.5
79.0,-1.0,604.883,619.88,14.996999999999957
80.0,1.0,619.88,620.38,0.5
81.0,-1.0,620.38,635.377,14.996999999999957
82.0,1.0,635.377,635.877,0.5
83.0,-1.0,635.877,650.8739999999999,14.996999999999957
84.0,1.0,650.874,651.374,0.5
85.0,-1.0,651.374,666.371,14.996999999999957
86.0,1.0,666.371,666.871,0.5
87.0,-1.0,666.871,681.8679999999999,14.996999999999957
88.0,1.0,681.8679999999999,682.3679999999999,0.5
89.0,-1.0,682.3679999999999,697.3649999999999,14.996999999999957
90.0,1.0,697.365,697.865,0.5
91.0,-1.0,697.865,712.862,14.996999999999957
92.0,1.0,712.862,713.362,0.5
93.0,-1.0,713.362,728.3589999999999,14.996999999999957
94.0,1.0,728.359,728.859,0.5
95.0,-1.0,728.859,743.856,14.996999999999957
96.0,1.0,743.856,744.356,0.5
97.0,-1.0,744.356,759.353,14.996999999999957
98.0,1.0,759.353,759.853,0.5
99.0,-1.0,759.853,774.8499999999999,14.996999999999957
100.0,1.0,774.85,775.35,0.5
101.0,-1.0,775.35,790.347,14.996999999999957
102.0,1.0,790.347,790.847,0.5
103.0,-1.0,790.847,805.8439999999999,14.996999999999957
104.0,1.0,805.844,806.344,0.5
105.0,-1.0,806.344,821.341,14.996999999999957
106.0,1.0,821.341,821.841,0.5
107.0,-1.0,821.841,836.838,14.996999999999957
108.0,1.0,836.838,837.338,0.5
109.0,-1.0,837.338,852.3349999999999,14.996999999999957
110.0,1.0,852.335,852.835,0.5
111.0,-1.0,852.835,867.832,14.996999999999957
112.0,1.0,867.832,868.332,0.5
113.0,-1.0,868.332,883.329,14.996999999999957
114.0,1.0,883.329,883.829,0.5
115.0,-1.0,883.829,898.8259999999999,14.996999999999957
116.0,1.0,898.826,899.326,0.5
117.0,-1.0,899.326,914.323,14.996999999999957
118.0,1.0,914.323,914.823,0.5
119.0,-1.0,914.823,929.8199999999999,14.996999999999957
120.0,1.0,929.8199999999999,930.3199999999999,0.5
121.0,-1.0,930.3199999999999,945.3169999999999,14.996999999999957
122.0,1.0,945.317,945.817,0.5
123.0,-1.0,945.817,960.814,14.996999999999957
124.0,1.0,960.814,961.314,0.5
125.0,-1.0,961.314,976.3109999999999,14.996999999999957
126.0,1.0,976.311,976.811,0.5
127.0,-1.0,976.811,991.808,14.996999999999957
128.0,1.0,991.808,992.308,0.5
129.0,-1.0,992.308,1007.305,14.996999999999957
130.0,1.0,1007.305,1007.805,0.5
131.0,-1.0,1007.805,1022.8019999999999,14.996999999999957
132.0,1.0,1022.802,1023.302,0.5
133.0,-1.0,1023.302,1038.299,14.996999999999957
134.0,1.0,1038.299,1038.799,0.5
135.0,-1.0,1038.799,1053.796,14.997000000000071
136.0,1.0,1053.796,1054.296,0.5
137.0,-1.0,1054.296,1069.2930000000001,14.997000000000071
138.0,1.0,1069.293,1069.793,0.5
139.0,-1.0,1069.793,1084.79,14.997000000000071
140.0,1.0,1084.79,1085.29,0.5
141.0,-1.0,1085.29,1100.287,14.997000000000071
142.0,1.0,1100.287,1100.787,0.5
143.0,-1.0,1100.787,1115.784,14.997000000000071
144.0,1.0,1115.784,1116.284,0.5
145.0,-1.0,1116.284,1131.2810000000002,14.997000000000071
146.0,1.0,1131.281,1131.781,0.5
147.0,-1.0,1131.781,1146.778,14.997000000000071
148.0,1.0,1146.778,1147.278,0.5
149.0,-1.0,1147.278,1162.275,14.997000000000071
150.0,1.0,1162.275,1162.775,0.5
151.0,-1.0,1162.775,1177.7720000000002,14.997000000000071
152.0,1.0,1177.772,1178.272,0.5
153.0,-1.0,1178.272,1193.269,14.997000000000071
154.0,1.0,1193.269,1193.769,0.5
155.0,-1.0,1193.769,1208.766,14.997000000000071
156.0,1.0,1208.766,1209.266,0.5
